"Block","acc","accuracy","arrow_condition","average_response_time","avg_rt","background","canvas_backend","clock_backend","color_backend","compensation","congruency","coordinates","correct","correct_Start","correct_instructions","correct_key","correct_mouse_response","count_SOA","count_Start","count_adjust_to_monitor","count_bottom_target","count_cue","count_delay_600ms","count_end_fixation","count_experiment","count_instructions","count_logger","count_mouse_response","count_practice_table","count_randomize_fixation_duration","count_start_fixation","count_top_target","count_trial_flow","count_variables_for_logger_endduration","cue","cue_cat","cue_condition","cursor_roi","cursor_x","cursor_y","datetime","delay_delay_600ms","description","disable_garbage_collection","distance","endfixation","experiment_file","experiment_path","fixation","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_practice_table","logfile","mouse_backend","opensesame_codename","opensesame_version","position","repeat_cycle","response","response_Start","response_instructions","response_mouse_response","response_time","response_time_Start","response_time_instructions","response_time_mouse_response","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","synth_backend","time_SOA","time_Start","time_adjust_to_monitor","time_bottom_target","time_cue","time_delay_600ms","time_end_fixation","time_experiment","time_instructions","time_logger","time_mouse_response","time_practice_table","time_randomize_fixation_duration","time_start_fixation","time_top_target","time_trial_flow","time_variables_for_logger_endduration","title","total_correct","total_response_time","total_responses","transparent_variables","uniform_coordinates","width"
"NA","100","100","incongruentRight","617.523241935","617.523241935","white","psycho","psycho","psycho","0","incongruent","relative","1","NA","undefined","3","1","0","NA","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","NA","spatial","spatialBot","undefined","192","375","02/25/19 20:50:19","600","Default description","yes","40.0623542614","1851.47675806","ANT.osexp","C:\Users\nar09\Documents\GitHub\ANT","1031","no","Arial","no","24","no","black","no","no","768","psycho","0","0","C:/Users/nar09/Documents/GitHub/ANT/subject-0.csv","psycho","Kafkaesque Koffka","3.2.6","bot","0","3","NA","space","3","617.523241935","NA","7412.31296372","617.523241935","2","legacy","1024","2","48000","-16","experiment","0","even","legacy","10118.8888585","NA","1477.97064991","10522.4585764","10015.6714533","12995.6073282","11143.9458327","1475.73235849","1496.93312262","13594.8109413","10522.7040517","8911.02357815","8977.24901497","8980.95105626","NA","8976.86188641","11144.0820815","ANT","1","617.523241935","1","no","no","1024"
"NA","100","100","congruentLeft","599.734386004","599.734386004","white","psycho","psycho","psycho","0","congruent","relative","1","NA","undefined","1","1","1","NA","0","1","1","1","1","0","0","1","3","0","1","1","1","1","1","NA","other","center","undefined","191","375","02/25/19 20:50:19","600","Default description","yes","40.0623542614","1872.05446993","ANT.osexp","C:\Users\nar09\Documents\GitHub\ANT","1046","no","Arial","no","24","no","black","no","no","768","psycho","1","1","C:/Users/nar09/Documents/GitHub/ANT/subject-0.csv","psycho","Kafkaesque Koffka","3.2.6","top","0","1","NA","space","1","581.945530073","NA","7412.31296372","581.945530073","2","legacy","1024","2","48000","-16","experiment","0","even","legacy","14843.1492183","NA","1477.97064991","10522.4585764","14740.413946","17704.6174965","15832.6244984","1475.73235849","1496.93312262","18303.2101235","15246.5744385","8911.02357815","13687.9647107","13691.0059881","15246.3630964","13687.8981508","15832.7553427","ANT","2","1199.46877201","2","no","no","1024"
"NA","100","100","neutralRight","618.625842476","618.625842476","white","psycho","psycho","psycho","0","neutral","relative","1","NA","undefined","3","1","2","NA","0","2","2","2","2","0","0","2","5","0","2","2","2","2","2","NA","spatial","spatialTop","undefined","191","375","02/25/19 20:50:19","600","Default description","yes","40.0623542614","1820.59124458","ANT.osexp","C:\Users\nar09\Documents\GitHub\ANT","1023","no","Arial","no","24","no","black","no","no","768","psycho","2","2","C:/Users/nar09/Documents/GitHub/ANT/subject-0.csv","psycho","Kafkaesque Koffka","3.2.6","top","0","3","NA","space","3","656.40875542","NA","7412.31296372","656.40875542","2","legacy","1024","2","48000","-16","experiment","0","even","legacy","19523.8879085","NA","1477.97064991","10522.4585764","19420.661401","22408.602958","20588.5520311","1475.73235849","1496.93312262","23007.1071228","19927.8285416","8911.02357815","18389.9889294","18393.2034334","19927.5759551","18389.9200939","20588.6293999","ANT","3","1855.87752743","3","no","no","1024"
"NA","100","100","neutralRight","629.957649103","629.957649103","white","psycho","psycho","psycho","0","neutral","relative","1","NA","undefined","3","1","3","NA","0","3","3","3","3","0","0","3","7","0","3","3","3","3","3","NA","other","no","undefined","191","375","02/25/19 20:50:19","600","Default description","yes","40.0623542614","1728.04693102","ANT.osexp","C:\Users\nar09\Documents\GitHub\ANT","1108","no","Arial","no","24","no","black","no","no","768","psycho","3","3","C:/Users/nar09/Documents/GitHub/ANT/subject-0.csv","psycho","Kafkaesque Koffka","3.2.6","top","0","3","NA","space","3","663.953068983","NA","7412.31296372","663.953068983","2","legacy","1024","2","48000","-16","experiment","0","even","legacy","24307.4878798","NA","1477.97064991","10522.4585764","24203.6404307","27107.0847086","25378.5067703","1475.73235849","1496.93312262","27706.5872726","24710.3060961","8911.02357815","23089.81155","23092.7433164","24710.0964607","23089.7441368","25378.5972236","ANT","4","2519.83059641","4","no","no","1024"
"NA","100","100","incongruentLeft","620.232402291","620.232402291","white","psycho","psycho","psycho","0","incongruent","relative","1","NA","undefined","1","1","4","NA","0","4","4","4","4","0","0","4","9","0","4","4","4","4","4","NA","other","center","undefined","191","375","02/25/19 20:50:19","600","Default description","yes","40.0623542614","1571.66858496","ANT.osexp","C:\Users\nar09\Documents\GitHub\ANT","1347","no","Arial","no","24","no","black","no","no","768","psycho","4","4","C:/Users/nar09/Documents/GitHub/ANT/subject-0.csv","psycho","Kafkaesque Koffka","3.2.6","top","0","1","NA","space","1","581.331415042","NA","7412.31296372","581.331415042","2","legacy","1024","2","48000","-16","experiment","0","even","legacy","29251.0555724","NA","1477.97064991","10522.4585764","29147.665794","31817.4516758","30245.9327324","1475.73235849","1496.93312262","32416.9317687","29660.894156","8911.02357815","27794.0581313","27797.3727596","29660.2035255","27793.9927091","30246.0402523","ANT","5","3101.16201145","5","no","no","1024"
"NA","100","100","congruentLeft","611.61130624","611.61130624","white","psycho","psycho","psycho","0","congruent","relative","1","NA","undefined","1","1","5","NA","0","5","5","5","5","0","0","5","11","0","5","5","5","5","5","NA","spatial","spatialTop","undefined","191","375","02/25/19 20:50:19","600","Default description","yes","40.0623542614","2091.49417401","ANT.osexp","C:\Users\nar09\Documents\GitHub\ANT","840","no","Arial","no","24","no","black","no","no","768","psycho","5","5","C:/Users/nar09/Documents/GitHub/ANT/subject-0.csv","psycho","Kafkaesque Koffka","3.2.6","top","0","1","NA","space","1","568.505825986","NA","7412.31296372","568.505825986","2","legacy","1024","2","48000","-16","experiment","0","even","legacy","33448.5247017","NA","1477.97064991","10522.4585764","33345.7612694","36522.1619011","34430.7221925","1475.73235849","1496.93312262","37121.0312923","33857.8763168","8911.02357815","32499.4342405","32502.4126557","33857.4587527","32499.3733694","34430.8066724","ANT","6","3669.66783744","6","no","no","1024"
"NA","100","100","incongruentLeft","614.166962895","614.166962895","white","psycho","psycho","psycho","0","incongruent","relative","1","NA","undefined","1","1","6","NA","0","6","6","6","6","0","0","6","13","0","6","6","6","6","6","NA","spatial","spatialTop","undefined","191","375","02/25/19 20:50:19","600","Default description","yes","40.0623542614","1683.49909717","ANT.osexp","C:\Users\nar09\Documents\GitHub\ANT","1187","no","Arial","no","24","no","black","no","no","768","psycho","6","6","C:/Users/nar09/Documents/GitHub/ANT/subject-0.csv","psycho","Kafkaesque Koffka","3.2.6","top","0","1","NA","space","1","629.500902826","NA","7412.31296372","629.500902826","2","legacy","1024","2","48000","-16","experiment","0","even","legacy","38502.6237133","NA","1477.97064991","10522.4585764","38399.9615431","41224.4571951","39540.0403569","1475.73235849","1496.93312262","41824.1790656","38906.7483818","8911.02357815","37206.9365701","37209.9329053","38906.4801509","37206.8762679","39540.1470235","ANT","7","4299.16874027","7","no","no","1024"
"NA","100","100","congruentRight","601.738935405","601.738935405","white","psycho","psycho","psycho","0","congruent","relative","1","NA","undefined","3","1","7","NA","0","7","7","7","7","0","0","7","15","0","7","7","7","7","7","NA","spatial","spatialBot","undefined","191","375","02/25/19 20:50:19","600","Default description","yes","40.0623542614","2542.25725702","ANT.osexp","C:\Users\nar09\Documents\GitHub\ANT","443","no","Arial","no","24","no","black","no","no","768","psycho","7","7","C:/Users/nar09/Documents/GitHub/ANT/subject-0.csv","psycho","Kafkaesque Koffka","3.2.6","bot","0","3","NA","space","3","514.742742976","NA","7412.31296372","514.742742976","2","legacy","1024","2","48000","-16","experiment","0","even","legacy","42463.1812581","NA","1477.97064991","42867.2419266","42360.2337904","45934.4131404","43391.6091236","1475.73235849","1496.93312262","46533.8152956","42867.4888242","8911.02357815","41911.5480933","41914.4084641","38906.4801509","41911.48836","43391.785479","ANT","8","4813.91148324","8","no","no","1024"
"NA","100","100","congruentLeft","585.373841222","585.373841222","white","psycho","psycho","psycho","0","congruent","relative","1","NA","undefined","1","1","8","NA","0","8","8","8","8","0","0","8","17","0","8","8","8","8","8","NA","other","double","undefined","191","375","02/25/19 20:50:19","600","Default description","yes","40.0623542614","1541.54691224","ANT.osexp","C:\Users\nar09\Documents\GitHub\ANT","1504","no","Arial","no","24","no","black","no","no","768","psycho","8","8","C:/Users/nar09/Documents/GitHub/ANT/subject-0.csv","psycho","Kafkaesque Koffka","3.2.6","top","0","1","NA","space","1","454.453087756","NA","7412.31296372","454.453087756","2","legacy","1024","2","48000","-16","experiment","0","even","legacy","48235.4523857","NA","1477.97064991","42867.2419266","48132.4673714","50638.9731792","49097.5959345","1475.73235849","1496.93312262","51238.4774498","48639.7098897","8911.02357815","46622.6207665","46625.5198218","48639.5059432","46622.5496554","49097.7122722","ANT","9","5268.364571","9","no","no","1024"
"NA","100","100","congruentRight","585.913924909","585.913924909","white","psycho","psycho","psycho","0","congruent","relative","1","NA","undefined","3","1","9","NA","0","9","9","9","9","0","0","9","19","0","9","9","9","9","9","NA","other","center","undefined","191","375","02/25/19 20:50:19","600","Default description","yes","40.0623542614","1968.22532191","ANT.osexp","C:\Users\nar09\Documents\GitHub\ANT","941","no","Arial","no","24","no","black","no","no","768","psycho","9","9","C:/Users/nar09/Documents/GitHub/ANT/subject-0.csv","psycho","Kafkaesque Koffka","3.2.6","bot","0","3","NA","space","3","590.774678094","NA","7412.31296372","590.774678094","2","legacy","1024","2","48000","-16","experiment","0","even","legacy","52375.7015816","NA","1477.97064991","52779.2832461","52272.8135628","55342.4196189","53373.8731743","1475.73235849","1496.93312262","55941.7748408","52779.4732549","8911.02357815","51325.7728065","51329.2544035","48639.5059432","51325.6743888","53373.9661875","ANT","10","5859.13924909","10","no","no","1024"
