"UFOV_img_path","UFOV_img_scale","UFOV_img_start_pos","UFOV_stim_presentation_jitter","acc","accuracy","average_response_time","avg_rt","background","canvas_backend","central_RT","central_stim_spacing_px","central_x","central_y","clock_backend","color_backend","compensation","coordinates","correct","correct_mUFOVIntro","count_PARAMETERS","count_divided_attention","count_experiment","count_fixation","count_mUFOVIntro","count_mask","count_randomize_starting_vals","count_response_central","count_save_data","count_trial_flow","count_trial_table","datetime","description","disable_garbage_collection","divided_jitter_time_ms","experiment_file","experiment_path","fixation_jitter_time_ms","fixation_time_ms","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","jitter_ms","keyboard_backend","live_row","live_row_trial_table","logfile","lure_rotation","mask_jitter_time_ms","mask_time_ms","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_central_timeout_ms","response_mUFOVIntro","response_time","response_time_mUFOVIntro","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","stim_presentation_time","stim_response_side","stim_time_ms","subject_nr","subject_parity","target_start_rotation","time_PARAMETERS","time_divided_attention","time_experiment","time_fixation","time_mUFOVIntro","time_mask","time_randomize_starting_vals","time_response_central","time_save_data","time_trial_flow","time_trial_table","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"c:\users\nar09\appdata\local\temp\tmpiublwf.opensesame_pool\ufov.png","0.6","[0, 30, 60, 90, 120, 150, 180, 210, 240, 270, 300, 330]","[-100, -50, 0, 50, 150, 200, 250, 300, 450]","undefined","undefined","undefined","undefined","grey","psycho","6040.82459287","300","-333","-22","psycho","psycho","0","uniform","undefined","undefined","0","0","0","0","0","0","0","0","0","0","0","03/19/19 21:14:43","Created by Nelson Roque, PhD. nelsonroque.com","yes","200","mUFOV_demo.osexp","C:\Users\nar09\Documents\GitHub\paradigms\mobile_ufov_demo","250","300","no","mono","no","18","no","white","no","no","768","-50","psycho","0","0","C:/Users/nar09/Documents/GitHub/paradigms/mobile_ufov_demo/subject-0.csv","-35","250","300","psycho","Kafkaesque Koffka","3.2.6","0","right","5000","right","2446.24456641","2446.24456641","2","legacy","1024","2","48000","-16","experiment","150","left","250","0","even","300","1444.02305596","4245.79434789","1442.09509203","3993.34912194","1462.51990402","4450.95297397","3989.97845623","4700.6382363","6046.33143573","3989.59701631","3909.57229241","mobile UFOV","0","0","0","yes","1024"
"c:\users\nar09\appdata\local\temp\tmpiublwf.opensesame_pool\ufov.png","0.6","[0, 30, 60, 90, 120, 150, 180, 210, 240, 270, 300, 330]","[-100, -50, 0, 50, 150, 200, 250, 300, 450]","undefined","undefined","undefined","undefined","grey","psycho","8608.82699129","300","401","20","psycho","psycho","0","uniform","undefined","undefined","0","1","0","1","0","1","1","1","1","1","0","03/19/19 21:14:43","Created by Nelson Roque, PhD. nelsonroque.com","yes","450","mUFOV_demo.osexp","C:\Users\nar09\Documents\GitHub\paradigms\mobile_ufov_demo","500","300","no","mono","no","18","no","white","no","no","768","200","psycho","1","1","C:/Users/nar09/Documents/GitHub/paradigms/mobile_ufov_demo/subject-0.csv","-15","500","300","psycho","Kafkaesque Koffka","3.2.6","0","right","5000","right","2446.24456641","2446.24456641","2","legacy","1024","2","48000","-16","experiment","150","right","250","0","even","150","1444.02305596","6639.41016479","1442.09509203","6137.25436101","1462.51990402","7092.46745816","6134.23100184","7592.55819593","8628.16778576","6133.99320637","3909.57229241","mobile UFOV","0","0","0","yes","1024"
"c:\users\nar09\appdata\local\temp\tmpiublwf.opensesame_pool\ufov.png","0.6","[0, 30, 60, 90, 120, 150, 180, 210, 240, 270, 300, 330]","[-100, -50, 0, 50, 150, 200, 250, 300, 450]","undefined","undefined","undefined","undefined","grey","psycho","10561.2323381","300","313","-4","psycho","psycho","0","uniform","undefined","undefined","0","2","0","2","0","2","2","2","2","2","0","03/19/19 21:14:43","Created by Nelson Roque, PhD. nelsonroque.com","yes","250","mUFOV_demo.osexp","C:\Users\nar09\Documents\GitHub\paradigms\mobile_ufov_demo","300","300","no","mono","no","18","no","white","no","no","768","0","psycho","2","2","C:/Users/nar09/Documents/GitHub/paradigms/mobile_ufov_demo/subject-0.csv","60","300","300","psycho","Kafkaesque Koffka","3.2.6","0","right","5000","right","2446.24456641","2446.24456641","2","legacy","1024","2","48000","-16","experiment","150","right","250","0","even","180","1444.02305596","9056.86128163","1442.09509203","8754.7631631","1462.51990402","9309.09004546","8751.56231067","9608.49476029","10576.1096317","8750.91690646","3909.57229241","mobile UFOV","0","0","0","yes","1024"
"c:\users\nar09\appdata\local\temp\tmpiublwf.opensesame_pool\ufov.png","0.6","[0, 30, 60, 90, 120, 150, 180, 210, 240, 270, 300, 330]","[-100, -50, 0, 50, 150, 200, 250, 300, 450]","undefined","undefined","undefined","undefined","grey","psycho","13937.2430401","300","-277","-33","psycho","psycho","0","uniform","undefined","undefined","0","3","0","3","0","3","3","3","3","3","0","03/19/19 21:14:43","Created by Nelson Roque, PhD. nelsonroque.com","yes","550","mUFOV_demo.osexp","C:\Users\nar09\Documents\GitHub\paradigms\mobile_ufov_demo","600","300","no","mono","no","18","no","white","no","no","768","300","psycho","3","3","C:/Users/nar09/Documents/GitHub/paradigms/mobile_ufov_demo/subject-0.csv","5","600","300","psycho","Kafkaesque Koffka","3.2.6","0","right","5000","right","2446.24456641","2446.24456641","2","legacy","1024","2","48000","-16","experiment","150","right","250","0","even","300","1444.02305596","11261.5966545","1442.09509203","10659.4225325","1462.51990402","11816.1843723","10655.5165424","12415.1917752","13944.1160692","10654.9459471","3909.57229241","mobile UFOV","0","0","0","yes","1024"
"c:\users\nar09\appdata\local\temp\tmpiublwf.opensesame_pool\ufov.png","0.6","[0, 30, 60, 90, 120, 150, 180, 210, 240, 270, 300, 330]","[-100, -50, 0, 50, 150, 200, 250, 300, 450]","undefined","undefined","undefined","undefined","grey","psycho","15765.3527423","300","-240","-16","psycho","psycho","0","uniform","undefined","undefined","0","4","0","4","0","4","4","4","4","4","0","03/19/19 21:14:43","Created by Nelson Roque, PhD. nelsonroque.com","yes","200","mUFOV_demo.osexp","C:\Users\nar09\Documents\GitHub\paradigms\mobile_ufov_demo","250","300","no","mono","no","18","no","white","no","no","768","-50","psycho","4","4","C:/Users/nar09/Documents/GitHub/paradigms/mobile_ufov_demo/subject-0.csv","-25","250","300","psycho","Kafkaesque Koffka","3.2.6","0","right","5000","right","2446.24456641","2446.24456641","2","legacy","1024","2","48000","-16","experiment","150","left","250","0","even","270","1444.02305596","14281.7896443","1442.09509203","14028.5621964","1462.51990402","14485.5488042","14024.6197975","14734.9902976","15768.8687591","14024.5114242","3909.57229241","mobile UFOV","0","0","0","yes","1024"
"c:\users\nar09\appdata\local\temp\tmpiublwf.opensesame_pool\ufov.png","0.6","[0, 30, 60, 90, 120, 150, 180, 210, 240, 270, 300, 330]","[-100, -50, 0, 50, 150, 200, 250, 300, 450]","undefined","undefined","undefined","undefined","grey","psycho","18726.4453045","300","330","-5","psycho","psycho","0","uniform","undefined","undefined","0","5","0","5","0","5","5","5","5","5","0","03/19/19 21:14:43","Created by Nelson Roque, PhD. nelsonroque.com","yes","500","mUFOV_demo.osexp","C:\Users\nar09\Documents\GitHub\paradigms\mobile_ufov_demo","550","300","no","mono","no","18","no","white","no","no","768","250","psycho","5","5","C:/Users/nar09/Documents/GitHub/paradigms/mobile_ufov_demo/subject-0.csv","-45","550","300","psycho","Kafkaesque Koffka","3.2.6","0","right","5000","right","2446.24456641","2446.24456641","2","legacy","1024","2","48000","-16","experiment","150","right","250","0","even","300","1444.02305596","16406.8948176","1442.09509203","15853.586815","1462.51990402","16910.35423","15849.6714383","17459.8671759","18748.1654761","15849.4336429","3909.57229241","mobile UFOV","0","0","0","yes","1024"
"c:\users\nar09\appdata\local\temp\tmpiublwf.opensesame_pool\ufov.png","0.6","[0, 30, 60, 90, 120, 150, 180, 210, 240, 270, 300, 330]","[-100, -50, 0, 50, 150, 200, 250, 300, 450]","undefined","undefined","undefined","undefined","grey","psycho","21900.6176994","300","-285","-17","psycho","psycho","0","uniform","undefined","undefined","0","6","0","6","0","6","6","6","6","6","0","03/19/19 21:14:43","Created by Nelson Roque, PhD. nelsonroque.com","yes","150","mUFOV_demo.osexp","C:\Users\nar09\Documents\GitHub\paradigms\mobile_ufov_demo","200","300","no","mono","no","18","no","white","no","no","768","-100","psycho","6","6","C:/Users/nar09/Documents/GitHub/paradigms/mobile_ufov_demo/subject-0.csv","15","200","300","psycho","Kafkaesque Koffka","3.2.6","0","right","5000","right","2446.24456641","2446.24456641","2","legacy","1024","2","48000","-16","experiment","150","left","250","0","even","0","1444.02305596","19035.7307632","1442.09509203","18832.6150166","1462.51990402","19189.1936173","18828.7491332","19389.3909648","21906.2667644","18828.1458267","3909.57229241","mobile UFOV","0","0","0","yes","1024"
"c:\users\nar09\appdata\local\temp\tmpiublwf.opensesame_pool\ufov.png","0.6","[0, 30, 60, 90, 120, 150, 180, 210, 240, 270, 300, 330]","[-100, -50, 0, 50, 150, 200, 250, 300, 450]","undefined","undefined","undefined","undefined","grey","psycho","24722.1695368","300","-179","12","psycho","psycho","0","uniform","undefined","undefined","0","7","0","7","0","7","7","7","7","7","0","03/19/19 21:14:43","Created by Nelson Roque, PhD. nelsonroque.com","yes","500","mUFOV_demo.osexp","C:\Users\nar09\Documents\GitHub\paradigms\mobile_ufov_demo","550","300","no","mono","no","18","no","white","no","no","768","250","psycho","7","7","C:/Users/nar09/Documents/GitHub/paradigms/mobile_ufov_demo/subject-0.csv","-45","550","300","psycho","Kafkaesque Koffka","3.2.6","0","right","5000","right","2446.24456641","2446.24456641","2","legacy","1024","2","48000","-16","experiment","200","left","250","0","even","0","1444.02305596","22541.7117748","1442.09509203","21989.3259408","1462.51990402","23045.1973561","21985.4387242","23595.3323818","24725.7845402","21985.3277908","3909.57229241","mobile UFOV","0","0","0","yes","1024"
"c:\users\nar09\appdata\local\temp\tmpiublwf.opensesame_pool\ufov.png","0.6","[0, 30, 60, 90, 120, 150, 180, 210, 240, 270, 300, 330]","[-100, -50, 0, 50, 150, 200, 250, 300, 450]","undefined","undefined","undefined","undefined","grey","psycho","31384.190753","300","319","4","psycho","psycho","0","uniform","undefined","undefined","0","8","0","8","0","8","8","8","8","8","0","03/19/19 21:14:43","Created by Nelson Roque, PhD. nelsonroque.com","yes","300","mUFOV_demo.osexp","C:\Users\nar09\Documents\GitHub\paradigms\mobile_ufov_demo","350","300","no","mono","no","18","no","white","no","no","768","50","psycho","8","8","C:/Users/nar09/Documents/GitHub/paradigms/mobile_ufov_demo/subject-0.csv","35","350","300","psycho","Kafkaesque Koffka","3.2.6","0","right","5000","right","2446.24456641","2446.24456641","2","legacy","1024","2","48000","-16","experiment","150","right","250","0","even","330","1444.02305596","25164.3596333","1442.09509203","24810.4562317","1462.51990402","25467.5241337","24806.4501173","25817.5542564","31390.4334534","24806.0769263","3909.57229241","mobile UFOV","0","0","0","yes","1024"
"c:\users\nar09\appdata\local\temp\tmpiublwf.opensesame_pool\ufov.png","0.6","[0, 30, 60, 90, 120, 150, 180, 210, 240, 270, 300, 330]","[-100, -50, 0, 50, 150, 200, 250, 300, 450]","undefined","undefined","undefined","undefined","grey","psycho","33872.5837163","300","-300","-13","psycho","psycho","0","uniform","undefined","undefined","0","9","0","9","0","9","9","9","9","9","0","03/19/19 21:14:43","Created by Nelson Roque, PhD. nelsonroque.com","yes","450","mUFOV_demo.osexp","C:\Users\nar09\Documents\GitHub\paradigms\mobile_ufov_demo","500","300","no","mono","no","18","no","white","no","no","768","200","psycho","9","9","C:/Users/nar09/Documents/GitHub/paradigms/mobile_ufov_demo/subject-0.csv","-15","500","300","psycho","Kafkaesque Koffka","3.2.6","0","right","5000","right","2446.24456641","2446.24456641","2","legacy","1024","2","48000","-16","experiment","150","left","250","0","even","240","1444.02305596","31979.751828","1442.09509203","31476.4016423","1462.51990402","32432.4438948","31472.3244168","32933.1979568","33886.6654189","31472.1804879","3909.57229241","mobile UFOV","0","0","0","yes","1024"
"c:\users\nar09\appdata\local\temp\tmpiublwf.opensesame_pool\ufov.png","0.6","[0, 30, 60, 90, 120, 150, 180, 210, 240, 270, 300, 330]","[-100, -50, 0, 50, 150, 200, 250, 300, 450]","undefined","undefined","undefined","undefined","grey","psycho","36336.5377887","300","262","-1","psycho","psycho","0","uniform","undefined","undefined","0","10","0","10","0","10","10","10","10","10","0","03/19/19 21:14:43","Created by Nelson Roque, PhD. nelsonroque.com","yes","400","mUFOV_demo.osexp","C:\Users\nar09\Documents\GitHub\paradigms\mobile_ufov_demo","450","300","no","mono","no","18","no","white","no","no","768","150","psycho","10","10","C:/Users/nar09/Documents/GitHub/paradigms/mobile_ufov_demo/subject-0.csv","-60","450","300","psycho","Kafkaesque Koffka","3.2.6","0","right","5000","right","2446.24456641","2446.24456641","2","legacy","1024","2","48000","-16","experiment","150","left","250","0","even","120","1444.02305596","34429.0436469","1442.09509203","33976.3219979","1462.51990402","34832.3288655","33972.2863013","35282.016062","36358.0781915","33972.1716702","3909.57229241","mobile UFOV","0","0","0","yes","1024"
