"UFOV_img_path","UFOV_img_scale","UFOV_img_start_pos","UFOV_peripheral_jitter","UFOV_stim_presentation_jitter","acc","accuracy","average_response_time","avg_rt","background","canvas_backend","central_RT","central_stim_spacing_px","central_x","central_y","clock_backend","color_backend","compensation","coordinates","correct","correct_mUFOVIntro","count_PARAMETERS","count_divided_attention","count_experiment","count_fixation","count_iti","count_mUFOVIntro","count_mask","count_randomize_starting_vals","count_response_central","count_response_peripheral","count_save_data","count_trial_flow","count_trial_table","cur_peripheral_stim_coords_jx","cur_peripheral_stim_coords_jy","cur_peripheral_stim_x","cur_peripheral_stim_y","datetime","description","disable_garbage_collection","divided_jitter_time_ms","experiment_file","experiment_path","fixation_jitter_time_ms","fixation_time_ms","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","iti_time_ms","jitter_ms","keyboard_backend","live_row","live_row_trial_table","logfile","lure_rotation","mask_jitter_time_ms","mask_time_ms","mouse_backend","opensesame_codename","opensesame_version","peripheral_RT","peripheral_item_coords","peripheral_jitter_px","peripheral_x","peripheral_y","rect_size","repeat_cycle","response","response_mUFOVIntro","response_time","response_time_mUFOVIntro","response_timeout_ms","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","stim_response_side","stim_time_ms","subject_nr","subject_parity","target_start_rotation","time_PARAMETERS","time_divided_attention","time_experiment","time_fixation","time_iti","time_mUFOVIntro","time_mask","time_randomize_starting_vals","time_response_central","time_response_peripheral","time_save_data","time_trial_flow","time_trial_table","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"c:\users\nar09\appdata\local\temp\tmpyviosf.opensesame_pool\ufov.png","0.6","[0, 30, 60, 90, 120, 150, 180, 210, 240, 270, 300, 330]","[0, 25, 50]","[-50, 0, 50, 100, 200, 300]","undefined","undefined","undefined","undefined","grey","psycho","7712.2192","300","263","251","psycho","psycho","0","uniform","undefined","undefined","0","0","0","0","0","0","0","0","0","0","0","0","0","250","250","200","200","03/19/19 22:11:20","Created by Nelson Roque, PhD. nelsonroque.com","yes","200","mUFOV_demo.osexp","C:\Users\nar09\Documents\GitHub\paradigms\mobile_ufov_demo","250","300","no","sans","no","18","no","white","no","no","768","500","-50","psycho","0","0","C:/Users/nar09/Documents/GitHub/paradigms/mobile_ufov_demo/subject-213.csv","35","250","300","psycho","Kafkaesque Koffka","3.2.6","7712.2192","[200, 250, -200, -250]","50","263","251","600","0","space","space","544.7666","544.7666","5000","2","legacy","1024","2","48000","-16","experiment","left","250","213","odd","30","4407.1404","5464.9747","4404.5184","5212.5827","7743.5508","4485.9511","5668.4606","5207.9794","5918.1043","7734.1958","8244.1482","5207.7449","5031.6897","mobile UFOV","0","0","0","yes","1024"
"c:\users\nar09\appdata\local\temp\tmpyviosf.opensesame_pool\ufov.png","0.6","[0, 30, 60, 90, 120, 150, 180, 210, 240, 270, 300, 330]","[0, 25, 50]","[-50, 0, 50, 100, 200, 300]","undefined","undefined","undefined","undefined","grey","psycho","11232.2925","300","231","269","psycho","psycho","0","uniform","undefined","undefined","0","1","0","1","1","0","1","1","1","1","1","1","0","225","275","200","250","03/19/19 22:11:20","Created by Nelson Roque, PhD. nelsonroque.com","yes","250","mUFOV_demo.osexp","C:\Users\nar09\Documents\GitHub\paradigms\mobile_ufov_demo","300","300","no","sans","no","18","no","white","no","no","768","500","0","psycho","1","1","C:/Users/nar09/Documents/GitHub/paradigms/mobile_ufov_demo/subject-213.csv","-5","300","300","psycho","Kafkaesque Koffka","3.2.6","11232.2925","[200, 250, -200, -250]","25","231","269","600","0","space","space","544.7666","544.7666","5000","2","legacy","1024","2","48000","-16","experiment","left","250","213","odd","300","4407.1404","8722.5243","4404.5184","8419.7497","11257.9317","4485.9511","8976.1217","8411.3607","9275.6289","11253.1524","11758.9514","8410.8041","5031.6897","mobile UFOV","0","0","0","yes","1024"
"c:\users\nar09\appdata\local\temp\tmpyviosf.opensesame_pool\ufov.png","0.6","[0, 30, 60, 90, 120, 150, 180, 210, 240, 270, 300, 330]","[0, 25, 50]","[-50, 0, 50, 100, 200, 300]","undefined","undefined","undefined","undefined","grey","psycho","14568.5112","300","246","192","psycho","psycho","0","uniform","undefined","undefined","0","2","0","2","2","0","2","2","2","2","2","2","0","250","200","250","200","03/19/19 22:11:20","Created by Nelson Roque, PhD. nelsonroque.com","yes","250","mUFOV_demo.osexp","C:\Users\nar09\Documents\GitHub\paradigms\mobile_ufov_demo","300","300","no","sans","no","18","no","white","no","no","768","500","0","psycho","2","2","C:/Users/nar09/Documents/GitHub/paradigms/mobile_ufov_demo/subject-213.csv","35","300","300","psycho","Kafkaesque Koffka","3.2.6","14568.5112","[200, 250, -200, -250]","0","246","192","600","0","space","space","544.7666","544.7666","5000","2","legacy","1024","2","48000","-16","experiment","right","250","213","odd","180","4407.1404","12488.2038","4404.5184","12184.5257","14714.7339","4485.9511","12741.4111","12180.6996","13040.78","14636.9497","15215.9036","12180.4645","5031.6897","mobile UFOV","0","0","0","yes","1024"
"c:\users\nar09\appdata\local\temp\tmpyviosf.opensesame_pool\ufov.png","0.6","[0, 30, 60, 90, 120, 150, 180, 210, 240, 270, 300, 330]","[0, 25, 50]","[-50, 0, 50, 100, 200, 300]","undefined","undefined","undefined","undefined","grey","psycho","17417.8598","300","-210","-205","psycho","psycho","0","uniform","undefined","undefined","0","3","0","3","3","0","3","3","3","3","3","3","0","-200","-200","-250","-250","03/19/19 22:11:20","Created by Nelson Roque, PhD. nelsonroque.com","yes","250","mUFOV_demo.osexp","C:\Users\nar09\Documents\GitHub\paradigms\mobile_ufov_demo","300","300","no","sans","no","18","no","white","no","no","768","500","0","psycho","3","3","C:/Users/nar09/Documents/GitHub/paradigms/mobile_ufov_demo/subject-213.csv","-35","300","300","psycho","Kafkaesque Koffka","3.2.6","17417.8598","[200, 250, -200, -250]","50","-210","-205","600","0","space","space","544.7666","544.7666","5000","2","legacy","1024","2","48000","-16","experiment","left","250","213","odd","240","4407.1404","15659.1809","4404.5184","15354.9999","17441.6449","4485.9511","15911.8385","15351.26","16211.8815","17431.012","17943.4916","15351.0316","5031.6897","mobile UFOV","0","0","0","yes","1024"
"c:\users\nar09\appdata\local\temp\tmpyviosf.opensesame_pool\ufov.png","0.6","[0, 30, 60, 90, 120, 150, 180, 210, 240, 270, 300, 330]","[0, 25, 50]","[-50, 0, 50, 100, 200, 300]","undefined","undefined","undefined","undefined","grey","psycho","21009.7173","300","249","253","psycho","psycho","0","uniform","undefined","undefined","0","4","0","4","4","0","4","4","4","4","4","4","0","200","250","200","250","03/19/19 22:11:20","Created by Nelson Roque, PhD. nelsonroque.com","yes","350","mUFOV_demo.osexp","C:\Users\nar09\Documents\GitHub\paradigms\mobile_ufov_demo","400","300","no","sans","no","18","no","white","no","no","768","500","100","psycho","4","4","C:/Users/nar09/Documents/GitHub/paradigms/mobile_ufov_demo/subject-213.csv","15","400","300","psycho","Kafkaesque Koffka","3.2.6","21009.7173","[200, 250, -200, -250]","0","249","253","600","0","space","space","544.7666","544.7666","5000","2","legacy","1024","2","48000","-16","experiment","right","250","213","odd","300","4407.1404","18614.6014","4404.5184","18210.6767","21038.9538","4485.9511","18968.5412","18207.0504","19369.4214","21028.0301","21539.3167","18206.8209","5031.6897","mobile UFOV","0","0","0","yes","1024"
"c:\users\nar09\appdata\local\temp\tmpyviosf.opensesame_pool\ufov.png","0.6","[0, 30, 60, 90, 120, 150, 180, 210, 240, 270, 300, 330]","[0, 25, 50]","[-50, 0, 50, 100, 200, 300]","undefined","undefined","undefined","undefined","grey","psycho","23858.1339","300","-199","186","psycho","psycho","0","uniform","undefined","undefined","0","5","0","5","5","0","5","5","5","5","5","5","0","-225","225","-250","200","03/19/19 22:11:20","Created by Nelson Roque, PhD. nelsonroque.com","yes","300","mUFOV_demo.osexp","C:\Users\nar09\Documents\GitHub\paradigms\mobile_ufov_demo","350","300","no","sans","no","18","no","white","no","no","768","500","50","psycho","5","5","C:/Users/nar09/Documents/GitHub/paradigms/mobile_ufov_demo/subject-213.csv","-45","350","300","psycho","Kafkaesque Koffka","3.2.6","23858.1339","[200, 250, -200, -250]","25","-199","186","600","0","space","space","544.7666","544.7666","5000","2","legacy","1024","2","48000","-16","experiment","right","250","213","odd","300","4407.1404","22062.4202","4404.5184","21677.176","23885.2045","4485.9511","22369.3853","21673.4671","22720.5869","23871.0914","24387.9516","21673.2353","5031.6897","mobile UFOV","0","0","0","yes","1024"
"c:\users\nar09\appdata\local\temp\tmpyviosf.opensesame_pool\ufov.png","0.6","[0, 30, 60, 90, 120, 150, 180, 210, 240, 270, 300, 330]","[0, 25, 50]","[-50, 0, 50, 100, 200, 300]","undefined","undefined","undefined","undefined","grey","psycho","26541.7888","300","232","-213","psycho","psycho","0","uniform","undefined","undefined","0","6","0","6","6","0","6","6","6","6","6","6","0","200","-200","200","-200","03/19/19 22:11:20","Created by Nelson Roque, PhD. nelsonroque.com","yes","200","mUFOV_demo.osexp","C:\Users\nar09\Documents\GitHub\paradigms\mobile_ufov_demo","250","300","no","sans","no","18","no","white","no","no","768","500","-50","psycho","6","6","C:/Users/nar09/Documents/GitHub/paradigms/mobile_ufov_demo/subject-213.csv","-35","250","300","psycho","Kafkaesque Koffka","3.2.6","26541.7888","[200, 250, -200, -250]","0","232","-213","600","0","space","space","544.7666","544.7666","5000","2","legacy","1024","2","48000","-16","experiment","right","250","213","odd","210","4407.1404","25040.0152","4404.5184","24788.2402","26566.1294","4485.9511","25244.0795","24784.4273","25493.5349","26555.5592","27065.7379","24784.1946","5031.6897","mobile UFOV","0","0","0","yes","1024"
"c:\users\nar09\appdata\local\temp\tmpyviosf.opensesame_pool\ufov.png","0.6","[0, 30, 60, 90, 120, 150, 180, 210, 240, 270, 300, 330]","[0, 25, 50]","[-50, 0, 50, 100, 200, 300]","undefined","undefined","undefined","undefined","grey","psycho","29561.8079","300","-126","213","psycho","psycho","0","uniform","undefined","undefined","0","7","0","7","7","0","7","7","7","7","7","7","0","-150","250","-200","200","03/19/19 22:11:20","Created by Nelson Roque, PhD. nelsonroque.com","yes","350","mUFOV_demo.osexp","C:\Users\nar09\Documents\GitHub\paradigms\mobile_ufov_demo","400","300","no","sans","no","18","no","white","no","no","768","500","100","psycho","7","7","C:/Users/nar09/Documents/GitHub/paradigms/mobile_ufov_demo/subject-213.csv","5","400","300","psycho","Kafkaesque Koffka","3.2.6","29561.8079","[200, 250, -200, -250]","50","-126","213","600","0","space","space","544.7666","544.7666","5000","2","legacy","1024","2","48000","-16","experiment","right","250","213","odd","60","4407.1404","27619.6399","4404.5184","27216.8013","29592.8394","4485.9511","27981.3614","27213.0534","28382.4481","29585.6937","30092.9458","27212.7756","5031.6897","mobile UFOV","0","0","0","yes","1024"
"c:\users\nar09\appdata\local\temp\tmpyviosf.opensesame_pool\ufov.png","0.6","[0, 30, 60, 90, 120, 150, 180, 210, 240, 270, 300, 330]","[0, 25, 50]","[-50, 0, 50, 100, 200, 300]","undefined","undefined","undefined","undefined","grey","psycho","33654.3562","300","231","202","psycho","psycho","0","uniform","undefined","undefined","0","8","0","8","8","0","8","8","8","8","8","8","0","225","225","200","200","03/19/19 22:11:20","Created by Nelson Roque, PhD. nelsonroque.com","yes","350","mUFOV_demo.osexp","C:\Users\nar09\Documents\GitHub\paradigms\mobile_ufov_demo","400","300","no","sans","no","18","no","white","no","no","768","500","100","psycho","8","8","C:/Users/nar09/Documents/GitHub/paradigms/mobile_ufov_demo/subject-213.csv","-25","400","300","psycho","Kafkaesque Koffka","3.2.6","33654.3562","[200, 250, -200, -250]","25","231","202","600","0","space","space","544.7666","544.7666","5000","2","legacy","1024","2","48000","-16","experiment","right","250","213","odd","270","4407.1404","31057.398","4404.5184","30653.3511","33678.883","4485.9511","31410.9835","30649.4364","31810.8522","33669.0525","34179.8089","30649.2045","5031.6897","mobile UFOV","0","0","0","yes","1024"
"c:\users\nar09\appdata\local\temp\tmpyviosf.opensesame_pool\ufov.png","0.6","[0, 30, 60, 90, 120, 150, 180, 210, 240, 270, 300, 330]","[0, 25, 50]","[-50, 0, 50, 100, 200, 300]","undefined","undefined","undefined","undefined","grey","psycho","37033.6225","300","171","-183","psycho","psycho","0","uniform","undefined","undefined","0","9","0","9","9","0","9","9","9","9","9","9","0","200","-200","200","-200","03/19/19 22:11:20","Created by Nelson Roque, PhD. nelsonroque.com","yes","450","mUFOV_demo.osexp","C:\Users\nar09\Documents\GitHub\paradigms\mobile_ufov_demo","500","300","no","sans","no","18","no","white","no","no","768","500","200","psycho","9","9","C:/Users/nar09/Documents/GitHub/paradigms/mobile_ufov_demo/subject-213.csv","-45","500","300","psycho","Kafkaesque Koffka","3.2.6","37033.6225","[200, 250, -200, -250]","0","171","-183","600","0","space","space","544.7666","544.7666","5000","2","legacy","1024","2","48000","-16","experiment","left","250","213","odd","120","4407.1404","34821.3183","4404.5184","34313.7817","37191.9284","4485.9511","35275.054","34310.1324","35776.0082","37111.8343","37696.7655","34309.8996","5031.6897","mobile UFOV","0","0","0","yes","1024"
