timestamp,version,trial,retention_time_secs,cue_type,line_sweep_direction,cue_pos_x,cue_pos_y,top_line_x,top_line_y,bottom_line_x,bottom_line_y,RT,n_rotations,n_updates,cue_angle1,cue_angle2,line_angle,line_angle_wrap360
2018-11-19 20:07:54,SWEEP,0,1,flash,+,-200,0,-100.0,-100.0,100.0,100.0,0.7509129047393799,0.6388888888888888,46,180.0,270.0,230.0,230.0
2018-11-19 20:07:58,SWEEP,1,1,flash,+,200,-200,-100.0,-100.0,100.0,100.0,0.9723222255706787,0.8194444444444444,59,315.0,135.0,295.0,295.0
2018-11-19 20:08:01,SWEEP,2,1,flash,+,-200,0,-100.0,-100.0,100.0,100.0,0.8221175670623779,0.6944444444444444,50,180.0,270.0,250.0,250.0
2018-11-19 20:08:04,SWEEP,3,1,flash,+,0,-200,-100.0,-100.0,100.0,100.0,0.638293981552124,0.5555555555555556,40,270.0,180.0,200.0,200.0
2018-11-19 20:08:08,SWEEP,4,1,flash,+,200,0,-100.0,-100.0,100.0,100.0,0.7712244987487793,0.6527777777777778,47,0.0,90.0,235.0,235.0
2018-11-19 20:08:11,SWEEP,5,1,flash,+,0,200,-100.0,-100.0,100.0,100.0,1.135502815246582,0.9583333333333334,69,90.0,0.0,345.0,345.0
2018-11-19 20:08:15,SWEEP,6,1,flash,+,-200,0,-100.0,-100.0,100.0,100.0,0.6850502490997314,0.5972222222222222,43,180.0,270.0,215.0,215.0
2018-11-19 20:08:18,SWEEP,7,1,flash,+,0,-200,-100.0,-100.0,100.0,100.0,0.9637734889984131,0.8194444444444444,59,270.0,180.0,295.0,295.0
2018-11-19 20:08:21,SWEEP,8,1,flash,+,200,200,-100.0,-100.0,100.0,100.0,0.6610183715820312,0.5694444444444444,41,45.0,45.0,205.0,205.0
2018-11-19 20:08:25,SWEEP,9,1,flash,+,-200,-200,-100.0,-100.0,100.0,100.0,1.2446613311767578,1.0555555555555556,76,225.0,225.0,380.0,20.0
2018-11-19 20:08:28,SWEEP,10,1,flash,+,-200,200,-100.0,-100.0,100.0,100.0,0.9648599624633789,0.8055555555555556,58,135.0,315.0,290.0,290.0
2018-11-19 20:08:32,SWEEP,11,1,flash,+,200,200,-100.0,-100.0,100.0,100.0,1.0884339809417725,0.9166666666666666,66,45.0,45.0,330.0,330.0
2018-11-19 20:08:35,SWEEP,12,1,flash,+,0,-200,-100.0,-100.0,100.0,100.0,0.9818296432495117,0.8194444444444444,59,270.0,180.0,295.0,295.0
