"BLOCK_ORDER","CONDITION_ORDER","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","circle_thickness","clock_backend","color_backend","compensation","coordinates","correct","correct_color_singleton_present","correct_distractor_instruct","correct_instructions_feedback","correct_key_commands","correct_key_instruct","correct_maintain_fixation","correct_practice_next","correct_response","count_Instructions","count_PARAMETERS","count_break_instruct","count_color_ABSENT_EXP","count_color_ABSENT_PRACTICE","count_color_PRESENT_EXP","count_color_PRESENT_PRACTICE","count_color_singleton_absent","count_color_singleton_present","count_distractor_instruct","count_exp_complete","count_experiment","count_experiment_next","count_instructions_feedback","count_key_commands","count_key_instruct","count_maintain_fixation","count_practice_next","count_remember_fixate","count_save_data","count_search_display","count_trial_sequence","datetime","description","disable_garbage_collection","dist_main","dist_onset","distractor","distractor_colors","eccentricity","experiment_file","experiment_path","fix_cross_ms","fix_cross_px","fix_dot_ms","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","line_height","line_prop_size","line_thickness","live_row","live_row_color_PRESENT_PRACTICE","logfile","mouse_backend","opensesame_codename","opensesame_version","paradigm","premask_line_thickness","repeat_cycle","response","response_break_instruct","response_color_singleton_absent","response_color_singleton_present","response_distractor_instruct","response_experiment_next","response_instructions_feedback","response_key_commands","response_key_instruct","response_maintain_fixation","response_practice_next","response_remember_fixate","response_time","response_time_break_instruct","response_time_color_singleton_absent","response_time_color_singleton_present","response_time_distractor_instruct","response_time_experiment_next","response_time_instructions_feedback","response_time_key_commands","response_time_key_instruct","response_time_maintain_fixation","response_time_practice_next","response_time_remember_fixate","response_timeout","round_decimals","sampler_backend","set_size","sound_buf_size","sound_channels","sound_freq","sound_sample_size","square_length","start","subject_nr","subject_parity","targ_main","targ_onset","target","target_color","time_Instructions","time_PARAMETERS","time_break_instruct","time_color_ABSENT_EXP","time_color_ABSENT_PRACTICE","time_color_PRESENT_EXP","time_color_PRESENT_PRACTICE","time_color_singleton_absent","time_color_singleton_present","time_distractor_instruct","time_exp_complete","time_experiment","time_experiment_next","time_instructions_feedback","time_key_commands","time_key_instruct","time_maintain_fixation","time_practice_next","time_remember_fixate","time_save_data","time_search_display","time_trial_sequence","timeout","title","total_correct","total_response_time","total_responses","trial_type","uniform_coordinates","width"
"PA","COLOR_SINGLETON","undefined","undefined","undefined","undefined","black","no","legacy","3","legacy","legacy","0","uniform","1","undefined","undefined","undefined","undefined","undefined","undefined","undefined","z","1","0","0","0","0","0","0","1","1","1","0","0","1","1","1","1","1","1","1","0","0","0","03/19/19 10:38:58","Code by Nelson Roque","yes","0","1","210","['red', 'green']","250","CHARLIE.osexp","C:\Users\nur375\Documents\GitHub\paradigms\attention_capture\capture_by_color\CHARLIE","600","36","600","no","mono","no","18","no","white","no","yes","768","legacy","48","0.6","3","0","0","C:/Users/nur375/Documents/GitHub/paradigms/attention_capture/capture_by_color/CHARLIE/subject-0.csv","legacy","Kafkaesque Koffka","3.2.6","ASP","2","0","z","NA","NA","/","/","NA","/","/","/","/","/","NA","634","NA","NA","2040","2984","NA","962","1097","4073","3753","748","NA","2000","2","legacy","7","1024","2","48000","-16","80","experiment","0","even","1","0","60","green","3484","3484","NA","NA","NA","NA","19168","NA","17128","12413","NA","3483","NA","15398","7560","3485","8658","16378","NA","21370","21370","21370","0","EXP2","0","0","0","1","yes","1024"
"PA","COLOR_SINGLETON","undefined","undefined","undefined","undefined","black","no","legacy","3","legacy","legacy","0","uniform","1","undefined","undefined","undefined","undefined","undefined","undefined","undefined","z","1","0","0","0","0","0","0","1","1","1","0","0","1","1","1","1","1","1","1","1","1","1","03/19/19 10:38:58","Code by Nelson Roque","yes","0","1","210","['red', 'green']","250","CHARLIE.osexp","C:\Users\nur375\Documents\GitHub\paradigms\attention_capture\capture_by_color\CHARLIE","600","36","600","no","mono","no","18","no","white","no","yes","768","legacy","48","0.6","3","1","1","C:/Users/nur375/Documents/GitHub/paradigms/attention_capture/capture_by_color/CHARLIE/subject-0.csv","legacy","Kafkaesque Koffka","3.2.6","ASP","2","0","z","NA","NA","/","/","NA","/","/","/","/","/","NA","955","NA","NA","2040","2984","NA","962","1097","4073","3753","748","NA","2000","2","legacy","7","1024","2","48000","-16","80","experiment","0","even","1","0","0","green","3484","3484","NA","NA","NA","NA","19168","NA","17128","12413","NA","3483","NA","15398","7560","3485","8658","16378","NA","23903","23903","23903","0","EXP2","0","0","0","1","yes","1024"
"PA","COLOR_SINGLETON","undefined","undefined","undefined","undefined","black","no","legacy","3","legacy","legacy","0","uniform","1","undefined","undefined","undefined","undefined","undefined","undefined","undefined","/","1","0","0","0","0","0","0","1","1","1","0","0","1","1","1","1","1","1","1","2","2","2","03/19/19 10:38:58","Code by Nelson Roque","yes","0","1","30","['red', 'green']","250","CHARLIE.osexp","C:\Users\nur375\Documents\GitHub\paradigms\attention_capture\capture_by_color\CHARLIE","600","36","600","no","mono","no","18","no","white","no","yes","768","legacy","48","0.6","3","2","2","C:/Users/nur375/Documents/GitHub/paradigms/attention_capture/capture_by_color/CHARLIE/subject-0.csv","legacy","Kafkaesque Koffka","3.2.6","ASP","2","0","/","NA","NA","/","/","NA","/","/","/","/","/","NA","520","NA","NA","2040","2984","NA","962","1097","4073","3753","748","NA","2000","2","legacy","7","1024","2","48000","-16","80","experiment","0","even","1","0","180","green","3484","3484","NA","NA","NA","NA","19168","NA","17128","12413","NA","3483","NA","15398","7560","3485","8658","16378","NA","25990","25990","25990","0","EXP2","0","0","0","1","yes","1024"
"PA","COLOR_SINGLETON","undefined","undefined","undefined","undefined","black","no","legacy","3","legacy","legacy","0","uniform","1","undefined","undefined","undefined","undefined","undefined","undefined","undefined","z","1","0","0","0","0","0","0","1","1","1","0","0","1","1","1","1","1","1","1","3","3","3","03/19/19 10:38:58","Code by Nelson Roque","yes","0","1","270","['red', 'green']","250","CHARLIE.osexp","C:\Users\nur375\Documents\GitHub\paradigms\attention_capture\capture_by_color\CHARLIE","600","36","600","no","mono","no","18","no","white","no","yes","768","legacy","48","0.6","3","3","3","C:/Users/nur375/Documents/GitHub/paradigms/attention_capture/capture_by_color/CHARLIE/subject-0.csv","legacy","Kafkaesque Koffka","3.2.6","ASP","2","0","z","NA","NA","/","/","NA","/","/","/","/","/","NA","404","NA","NA","2040","2984","NA","962","1097","4073","3753","748","NA","2000","2","legacy","7","1024","2","48000","-16","80","experiment","0","even","1","0","240","green","3484","3484","NA","NA","NA","NA","19168","NA","17128","12413","NA","3483","NA","15398","7560","3485","8658","16378","NA","27957","27957","27957","0","EXP2","0","0","0","1","yes","1024"
"PA","COLOR_SINGLETON","undefined","undefined","undefined","undefined","black","no","legacy","3","legacy","legacy","0","uniform","1","undefined","undefined","undefined","undefined","undefined","undefined","undefined","/","1","0","0","0","0","0","0","1","1","1","0","0","1","1","1","1","1","1","1","4","4","4","03/19/19 10:38:58","Code by Nelson Roque","yes","0","1","270","['red', 'green']","250","CHARLIE.osexp","C:\Users\nur375\Documents\GitHub\paradigms\attention_capture\capture_by_color\CHARLIE","600","36","600","no","mono","no","18","no","white","no","yes","768","legacy","48","0.6","3","4","4","C:/Users/nur375/Documents/GitHub/paradigms/attention_capture/capture_by_color/CHARLIE/subject-0.csv","legacy","Kafkaesque Koffka","3.2.6","ASP","2","0","/","NA","NA","/","/","NA","/","/","/","/","/","NA","515","NA","NA","2040","2984","NA","962","1097","4073","3753","748","NA","2000","2","legacy","7","1024","2","48000","-16","80","experiment","0","even","1","0","180","green","3484","3484","NA","NA","NA","NA","19168","NA","17128","12413","NA","3483","NA","15398","7560","3485","8658","16378","NA","30044","30044","30044","0","EXP2","0","0","0","1","yes","1024"
"PA","COLOR_SINGLETON","undefined","undefined","undefined","undefined","black","no","legacy","3","legacy","legacy","0","uniform","1","undefined","undefined","undefined","undefined","undefined","undefined","undefined","z","1","0","0","0","0","0","0","1","1","1","0","0","1","1","1","1","1","1","1","5","5","5","03/19/19 10:38:58","Code by Nelson Roque","yes","0","1","270","['red', 'green']","250","CHARLIE.osexp","C:\Users\nur375\Documents\GitHub\paradigms\attention_capture\capture_by_color\CHARLIE","600","36","600","no","mono","no","18","no","white","no","yes","768","legacy","48","0.6","3","5","5","C:/Users/nur375/Documents/GitHub/paradigms/attention_capture/capture_by_color/CHARLIE/subject-0.csv","legacy","Kafkaesque Koffka","3.2.6","ASP","2","0","z","NA","NA","/","/","NA","/","/","/","/","/","NA","418","NA","NA","2040","2984","NA","962","1097","4073","3753","748","NA","2000","2","legacy","7","1024","2","48000","-16","80","experiment","0","even","1","0","60","green","3484","3484","NA","NA","NA","NA","19168","NA","17128","12413","NA","3483","NA","15398","7560","3485","8658","16378","NA","32034","32034","32033","0","EXP2","0","0","0","1","yes","1024"
"PA","COLOR_SINGLETON","undefined","undefined","undefined","undefined","black","no","legacy","3","legacy","legacy","0","uniform","0","undefined","undefined","undefined","undefined","undefined","undefined","undefined","/","1","0","0","0","0","0","0","1","1","1","0","0","1","1","1","1","1","1","1","6","6","6","03/19/19 10:38:58","Code by Nelson Roque","yes","0","1","30","['red', 'green']","250","CHARLIE.osexp","C:\Users\nur375\Documents\GitHub\paradigms\attention_capture\capture_by_color\CHARLIE","600","36","600","no","mono","no","18","no","white","no","yes","768","legacy","48","0.6","3","6","6","C:/Users/nur375/Documents/GitHub/paradigms/attention_capture/capture_by_color/CHARLIE/subject-0.csv","legacy","Kafkaesque Koffka","3.2.6","ASP","2","0","z","NA","NA","/","/","NA","/","/","/","/","/","NA","494","NA","NA","2040","2984","NA","962","1097","4073","3753","748","NA","2000","2","legacy","7","1024","2","48000","-16","80","experiment","0","even","1","0","120","green","3484","3484","NA","NA","NA","NA","19168","NA","17128","12413","NA","3483","NA","15398","7560","3485","8658","16378","NA","34104","34104","34104","0","EXP2","0","0","0","1","yes","1024"
"PA","COLOR_SINGLETON","undefined","undefined","undefined","undefined","black","no","legacy","3","legacy","legacy","0","uniform","1","undefined","undefined","undefined","undefined","undefined","undefined","undefined","/","1","0","0","0","0","0","0","1","1","1","0","0","1","1","1","1","1","1","1","7","7","7","03/19/19 10:38:58","Code by Nelson Roque","yes","0","1","90","['red', 'green']","250","CHARLIE.osexp","C:\Users\nur375\Documents\GitHub\paradigms\attention_capture\capture_by_color\CHARLIE","600","36","600","no","mono","no","18","no","white","no","yes","768","legacy","48","0.6","3","7","7","C:/Users/nur375/Documents/GitHub/paradigms/attention_capture/capture_by_color/CHARLIE/subject-0.csv","legacy","Kafkaesque Koffka","3.2.6","ASP","2","0","/","NA","NA","/","/","NA","/","/","/","/","/","NA","532","NA","NA","2040","2984","NA","962","1097","4073","3753","748","NA","2000","2","legacy","7","1024","2","48000","-16","80","experiment","0","even","1","0","300","green","3484","3484","NA","NA","NA","NA","19168","NA","17128","12413","NA","3483","NA","15398","7560","3485","8658","16378","NA","36203","36203","36203","0","EXP2","0","0","0","1","yes","1024"
"PA","COLOR_SINGLETON","undefined","undefined","undefined","undefined","black","no","legacy","3","legacy","legacy","0","uniform","1","undefined","undefined","undefined","undefined","undefined","undefined","undefined","/","1","0","0","0","0","0","0","1","1","1","0","0","1","1","1","1","1","1","1","8","8","8","03/19/19 10:38:58","Code by Nelson Roque","yes","0","1","90","['red', 'green']","250","CHARLIE.osexp","C:\Users\nur375\Documents\GitHub\paradigms\attention_capture\capture_by_color\CHARLIE","600","36","600","no","mono","no","18","no","white","no","yes","768","legacy","48","0.6","3","8","8","C:/Users/nur375/Documents/GitHub/paradigms/attention_capture/capture_by_color/CHARLIE/subject-0.csv","legacy","Kafkaesque Koffka","3.2.6","ASP","2","0","/","NA","NA","/","/","NA","/","/","/","/","/","NA","570","NA","NA","2040","2984","NA","962","1097","4073","3753","748","NA","2000","2","legacy","7","1024","2","48000","-16","80","experiment","0","even","1","0","0","green","3484","3484","NA","NA","NA","NA","19168","NA","17128","12413","NA","3483","NA","15398","7560","3485","8658","16378","NA","38342","38342","38342","0","EXP2","0","0","0","1","yes","1024"
"PA","COLOR_SINGLETON","undefined","undefined","undefined","undefined","black","no","legacy","3","legacy","legacy","0","uniform","1","undefined","undefined","undefined","undefined","undefined","undefined","undefined","/","1","0","0","0","0","0","0","1","1","1","0","0","1","1","1","1","1","1","1","9","9","9","03/19/19 10:38:58","Code by Nelson Roque","yes","0","1","330","['red', 'green']","250","CHARLIE.osexp","C:\Users\nur375\Documents\GitHub\paradigms\attention_capture\capture_by_color\CHARLIE","600","36","600","no","mono","no","18","no","white","no","yes","768","legacy","48","0.6","3","9","9","C:/Users/nur375/Documents/GitHub/paradigms/attention_capture/capture_by_color/CHARLIE/subject-0.csv","legacy","Kafkaesque Koffka","3.2.6","ASP","2","0","/","NA","NA","/","/","NA","/","/","/","/","/","NA","426","NA","NA","2040","2984","NA","962","1097","4073","3753","748","NA","2000","2","legacy","7","1024","2","48000","-16","80","experiment","0","even","1","0","60","green","3484","3484","NA","NA","NA","NA","19168","NA","17128","12413","NA","3483","NA","15398","7560","3485","8658","16378","NA","40347","40347","40346","0","EXP2","0","0","0","1","yes","1024"
