"Experimental_Loop_PLUS_Pause","Letter_Control_Condition","Letter_Experimental_Condition","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","condition","condition1","condition2","coordinates","coroutines_cycles","coroutines_duration","coroutines_mean_cycle_duration","correct","correct_KBR_Control","correct_KBR_Control_1","correct_KBR_Experimental","correct_KBR_Experimental_2","correct_response_Control","correct_response_Experimental","count_Blank_Control","count_Blank_Control_1","count_Blank_Experimental","count_Blank_Experimental_2","count_Block_sequence","count_Block_sequence_1","count_Counterbalance","count_End_of_Experiment","count_End_of_Practice","count_Experimental_Loop","count_Experimental_Loop_with_Pause","count_Experimental_PLUS_Pause_Sequence","count_Instructions","count_Instructions_Control_Condition","count_Instructions_Control_Condition_1","count_Instructions_Experimental_Condition","count_Instructions_Experimental_Condition_1","count_KBR_Control","count_KBR_Control_1","count_KBR_Experimental","count_KBR_Experimental_2","count_Letter_Control_Condition","count_Letter_Control_Condition_1","count_Letter_Experimental_Condition_2","count_Letter_Experimental_Condition_2_2","count_Pause_1","count_PracticeLoop","count_Trial_Loop_Control_Condition_Experimental_Phase_1","count_Trial_Loop_Control_Condition_Practice_Phase","count_Trial_Loop_Experimental_Condition_Experimental_Phase","count_Trial_Loop_Experimental_Condition_Practice_Phase","count_Trial_sequence_Control","count_Trial_sequence_Control_1","count_Trial_sequence_Experimental","count_Trial_sequence_Experimental_2","count_coroutines_Control","count_experiment","count_logger_1","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","form_response","fullscreen","height","keyboard_backend","live_row","live_row_PracticeLoop","live_row_Trial_Loop_Control_Condition_Practice_Phase","logfile","mouse_backend","opensesame_codename","opensesame_version","practice","repeat_cycle","response","response_KBR_Control","response_KBR_Control_1","response_KBR_Experimental","response_KBR_Experimental_2","response_time","response_time_KBR_Control","response_time_KBR_Control_1","response_time_KBR_Experimental","response_time_KBR_Experimental_2","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","time_Blank_Control","time_Blank_Control_1","time_Blank_Experimental","time_Blank_Experimental_2","time_Block_sequence","time_Block_sequence_1","time_Counterbalance","time_End_of_Experiment","time_End_of_Practice","time_Experimental_Loop","time_Experimental_Loop_with_Pause","time_Experimental_PLUS_Pause_Sequence","time_Instructions","time_Instructions_Control_Condition","time_Instructions_Control_Condition_1","time_Instructions_Experimental_Condition","time_Instructions_Experimental_Condition_1","time_KBR_Control","time_KBR_Control_1","time_KBR_Experimental","time_KBR_Experimental_2","time_Letter_Control_Condition","time_Letter_Control_Condition_1","time_Letter_Experimental_Condition_2","time_Letter_Experimental_Condition_2_2","time_Pause_1","time_PracticeLoop","time_Trial_Loop_Control_Condition_Experimental_Phase_1","time_Trial_Loop_Control_Condition_Practice_Phase","time_Trial_Loop_Experimental_Condition_Experimental_Phase","time_Trial_Loop_Experimental_Condition_Practice_Phase","time_Trial_sequence_Control","time_Trial_sequence_Control_1","time_Trial_sequence_Experimental","time_Trial_sequence_Experimental_2","time_experiment","time_logger_1","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"NA","Z","NA","100","100","1000","1000","white","no","legacy","legacy","legacy","0","[condition1]","control","experimental","uniform","157713","2000","0.0126812628001","1","1","NA","NA","NA","m","NA","0","NA","NA","NA","0","NA","0","NA","0","NA","0","NA","0","0","NA","0","NA","0","NA","NA","NA","0","NA","NA","NA","NA","0","NA","0","NA","0","0","NA","NA","NA","0","0","0","06/26/19 10:59:41","The main experiment item","yes","Go_NoGo_Response_Inhibition_Task_MODIFIED.osexp","C:\Users\nur375\Documents\GitHub\paradigms\pc\go_nogo\OS","no","mono","no","18","no","black","no","I understand","no","768","legacy","0","0","0","C:/Users/nur375/Documents/GitHub/paradigms/pc/go_nogo/OS\quickrun.csv","legacy","Kafkaesque Koffka","3.2.7","yes","0","m","m","NA","NA","NA","1000","1000","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","999","odd","5108","NA","NA","NA","2096","NA","1219","NA","NA","NA","NA","NA","1219","2098","NA","NA","NA","4108","NA","NA","NA","4108","NA","NA","NA","NA","2059","NA","4093","NA","NA","4094","NA","NA","NA","1218","6107","Go No-go Task","1","1000","1","yes","1024"
"NA","Y","NA","100","100","679.5","679.5","white","no","legacy","legacy","legacy","0","[condition1]","control","experimental","uniform","192892","2000","0.0103684963607","1","1","NA","NA","NA","m","NA","1","NA","NA","NA","0","NA","0","NA","0","NA","0","NA","0","0","NA","0","NA","1","NA","NA","NA","1","NA","NA","NA","NA","0","NA","0","NA","0","1","NA","NA","NA","1","0","1","06/26/19 10:59:41","The main experiment item","yes","Go_NoGo_Response_Inhibition_Task_MODIFIED.osexp","C:\Users\nur375\Documents\GitHub\paradigms\pc\go_nogo\OS","no","mono","no","18","no","black","no","I understand","no","768","legacy","1","0","1","C:/Users/nur375/Documents/GitHub/paradigms/pc/go_nogo/OS\quickrun.csv","legacy","Kafkaesque Koffka","3.2.7","yes","0","m","m","NA","NA","NA","359","359","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","999","odd","7141","NA","NA","NA","2096","NA","1219","NA","NA","NA","NA","NA","1219","2098","NA","NA","NA","6142","NA","NA","NA","6142","NA","NA","NA","NA","2059","NA","4093","NA","NA","6127","NA","NA","NA","1218","8140","Go No-go Task","2","1359","2","yes","1024"
"NA","O","NA","100","100","545.333333333","545.333333333","white","no","legacy","legacy","legacy","0","[condition1]","control","experimental","uniform","195165","2000","0.0102477390926","1","1","NA","NA","NA","m","NA","2","NA","NA","NA","0","NA","0","NA","0","NA","0","NA","0","0","NA","0","NA","2","NA","NA","NA","2","NA","NA","NA","NA","0","NA","0","NA","0","2","NA","NA","NA","2","0","2","06/26/19 10:59:41","The main experiment item","yes","Go_NoGo_Response_Inhibition_Task_MODIFIED.osexp","C:\Users\nur375\Documents\GitHub\paradigms\pc\go_nogo\OS","no","mono","no","18","no","black","no","I understand","no","768","legacy","2","0","2","C:/Users/nur375/Documents/GitHub/paradigms/pc/go_nogo/OS\quickrun.csv","legacy","Kafkaesque Koffka","3.2.7","yes","0","m","m","NA","NA","NA","277","277","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","999","odd","9180","NA","NA","NA","2096","NA","1219","NA","NA","NA","NA","NA","1219","2098","NA","NA","NA","8181","NA","NA","NA","8181","NA","NA","NA","NA","2059","NA","4093","NA","NA","8158","NA","NA","NA","1218","10179","Go No-go Task","3","1636","3","yes","1024"
"NA","C","NA","100","100","497.75","497.75","white","no","legacy","legacy","legacy","0","[condition1]","control","experimental","uniform","190059","2000","0.0105230481061","1","1","NA","NA","NA","m","NA","3","NA","NA","NA","0","NA","0","NA","0","NA","0","NA","0","0","NA","0","NA","3","NA","NA","NA","3","NA","NA","NA","NA","0","NA","0","NA","0","3","NA","NA","NA","3","0","3","06/26/19 10:59:41","The main experiment item","yes","Go_NoGo_Response_Inhibition_Task_MODIFIED.osexp","C:\Users\nur375\Documents\GitHub\paradigms\pc\go_nogo\OS","no","mono","no","18","no","black","no","I understand","no","768","legacy","3","0","3","C:/Users/nur375/Documents/GitHub/paradigms/pc/go_nogo/OS\quickrun.csv","legacy","Kafkaesque Koffka","3.2.7","yes","0","m","m","NA","NA","NA","355","355","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","999","odd","11208","NA","NA","NA","2096","NA","1219","NA","NA","NA","NA","NA","1219","2098","NA","NA","NA","10208","NA","NA","NA","10208","NA","NA","NA","NA","2059","NA","4093","NA","NA","10194","NA","NA","NA","1218","12207","Go No-go Task","4","1991","4","yes","1024"
"NA","H","NA","100","100","506.8","506.8","white","no","legacy","legacy","legacy","0","[condition1]","control","experimental","uniform","179890","2000","0.0111179053866","1","1","NA","NA","NA","m","NA","4","NA","NA","NA","0","NA","0","NA","0","NA","0","NA","0","0","NA","0","NA","4","NA","NA","NA","4","NA","NA","NA","NA","0","NA","0","NA","0","4","NA","NA","NA","4","0","4","06/26/19 10:59:41","The main experiment item","yes","Go_NoGo_Response_Inhibition_Task_MODIFIED.osexp","C:\Users\nur375\Documents\GitHub\paradigms\pc\go_nogo\OS","no","mono","no","18","no","black","no","I understand","no","768","legacy","4","0","4","C:/Users/nur375/Documents/GitHub/paradigms/pc/go_nogo/OS\quickrun.csv","legacy","Kafkaesque Koffka","3.2.7","yes","0","m","m","NA","NA","NA","543","543","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","999","odd","13237","NA","NA","NA","2096","NA","1219","NA","NA","NA","NA","NA","1219","2098","NA","NA","NA","12237","NA","NA","NA","12237","NA","NA","NA","NA","2059","NA","4093","NA","NA","12223","NA","NA","NA","1218","14236","Go No-go Task","5","2534","5","yes","1024"
"NA","H","Y","100","100","516.333333333","516.333333333","white","no","legacy","legacy","legacy","0","[condition2]","control","experimental","uniform","177323","2000","0.0112788527151","1","1","NA","1","NA","m","m","4","NA","0","NA","1","NA","0","NA","0","NA","0","NA","0","1","NA","1","NA","4","NA","0","NA","4","NA","0","NA","NA","0","NA","1","NA","1","4","NA","0","NA","4","0","5","06/26/19 10:59:41","The main experiment item","yes","Go_NoGo_Response_Inhibition_Task_MODIFIED.osexp","C:\Users\nur375\Documents\GitHub\paradigms\pc\go_nogo\OS","no","mono","no","18","no","black","no","I understand","no","768","legacy","0","1","4","C:/Users/nur375/Documents/GitHub/paradigms/pc/go_nogo/OS\quickrun.csv","legacy","Kafkaesque Koffka","3.2.7","yes","0","m","m","NA","m","NA","564","543","NA","564","NA","2","legacy","1024","2","48000","-16","experiment","999","odd","13237","NA","17301","NA","14290","NA","1219","NA","NA","NA","NA","NA","1219","2098","NA","14291","NA","12237","NA","16301","NA","12237","NA","16301","NA","NA","2059","NA","4093","NA","16286","12223","NA","16287","NA","1218","18300","Go No-go Task","6","3098","6","yes","1024"
"NA","H","K","100","100","486.714285714","486.714285714","white","no","legacy","legacy","legacy","0","[condition2]","control","experimental","uniform","187867","2000","0.0106458292303","1","1","NA","1","NA","m","m","4","NA","1","NA","1","NA","0","NA","0","NA","0","NA","0","1","NA","1","NA","4","NA","1","NA","4","NA","1","NA","NA","0","NA","1","NA","1","4","NA","1","NA","4","0","6","06/26/19 10:59:41","The main experiment item","yes","Go_NoGo_Response_Inhibition_Task_MODIFIED.osexp","C:\Users\nur375\Documents\GitHub\paradigms\pc\go_nogo\OS","no","mono","no","18","no","black","no","I understand","no","768","legacy","1","1","4","C:/Users/nur375/Documents/GitHub/paradigms/pc/go_nogo/OS\quickrun.csv","legacy","Kafkaesque Koffka","3.2.7","yes","0","m","m","NA","m","NA","309","543","NA","309","NA","2","legacy","1024","2","48000","-16","experiment","999","odd","13237","NA","19329","NA","14290","NA","1219","NA","NA","NA","NA","NA","1219","2098","NA","14291","NA","12237","NA","18330","NA","12237","NA","18330","NA","NA","2059","NA","4093","NA","16286","12223","NA","18315","NA","1218","20328","Go No-go Task","7","3407","7","yes","1024"
"NA","H","J","100","100","478.625","478.625","white","no","legacy","legacy","legacy","0","[condition2]","control","experimental","uniform","184438","2000","0.0108437523721","1","1","NA","1","NA","m","m","4","NA","2","NA","1","NA","0","NA","0","NA","0","NA","0","1","NA","1","NA","4","NA","2","NA","4","NA","2","NA","NA","0","NA","1","NA","1","4","NA","2","NA","4","0","7","06/26/19 10:59:41","The main experiment item","yes","Go_NoGo_Response_Inhibition_Task_MODIFIED.osexp","C:\Users\nur375\Documents\GitHub\paradigms\pc\go_nogo\OS","no","mono","no","18","no","black","no","I understand","no","768","legacy","2","1","4","C:/Users/nur375/Documents/GitHub/paradigms/pc/go_nogo/OS\quickrun.csv","legacy","Kafkaesque Koffka","3.2.7","yes","0","m","m","NA","m","NA","422","543","NA","422","NA","2","legacy","1024","2","48000","-16","experiment","999","odd","13237","NA","21358","NA","14290","NA","1219","NA","NA","NA","NA","NA","1219","2098","NA","14291","NA","12237","NA","20358","NA","12237","NA","20358","NA","NA","2059","NA","4093","NA","16286","12223","NA","20343","NA","1218","22357","Go No-go Task","8","3829","8","yes","1024"
"NA","H","W","100","100","489.555555556","489.555555556","white","no","legacy","legacy","legacy","0","[condition2]","control","experimental","uniform","177699","2000","0.0112549873663","1","1","NA","1","NA","m","m","4","NA","3","NA","1","NA","0","NA","0","NA","0","NA","0","1","NA","1","NA","4","NA","3","NA","4","NA","3","NA","NA","0","NA","1","NA","1","4","NA","3","NA","4","0","8","06/26/19 10:59:41","The main experiment item","yes","Go_NoGo_Response_Inhibition_Task_MODIFIED.osexp","C:\Users\nur375\Documents\GitHub\paradigms\pc\go_nogo\OS","no","mono","no","18","no","black","no","I understand","no","768","legacy","3","1","4","C:/Users/nur375/Documents/GitHub/paradigms/pc/go_nogo/OS\quickrun.csv","legacy","Kafkaesque Koffka","3.2.7","yes","0","m","m","NA","m","NA","577","543","NA","577","NA","2","legacy","1024","2","48000","-16","experiment","999","odd","13237","NA","23387","NA","14290","NA","1219","NA","NA","NA","NA","NA","1219","2098","NA","14291","NA","12237","NA","22387","NA","12237","NA","22387","NA","NA","2059","NA","4093","NA","16286","12223","NA","22372","NA","1218","24386","Go No-go Task","9","4406","9","yes","1024"
"NA","H","X","90","90","556.5","556.5","white","no","legacy","legacy","legacy","0","[condition2]","control","experimental","uniform","145314","2000","0.0137632987875","0","1","NA","0","NA","m","None","4","NA","4","NA","1","NA","0","NA","0","NA","0","NA","0","1","NA","1","NA","4","NA","4","NA","4","NA","4","NA","NA","0","NA","1","NA","1","4","NA","4","NA","4","0","9","06/26/19 10:59:41","The main experiment item","yes","Go_NoGo_Response_Inhibition_Task_MODIFIED.osexp","C:\Users\nur375\Documents\GitHub\paradigms\pc\go_nogo\OS","no","mono","no","18","no","black","no","I understand","no","768","legacy","4","1","4","C:/Users/nur375/Documents/GitHub/paradigms/pc/go_nogo/OS\quickrun.csv","legacy","Kafkaesque Koffka","3.2.7","yes","0","m","m","NA","m","NA","1159","543","NA","1159","NA","2","legacy","1024","2","48000","-16","experiment","999","odd","13237","NA","25416","NA","14290","NA","1219","NA","NA","NA","NA","NA","1219","2098","NA","14291","NA","12237","NA","24416","NA","12237","NA","24416","NA","NA","2059","NA","4093","NA","16286","12223","NA","24401","NA","1218","26415","Go No-go Task","9","5565","10","yes","1024"
