"Experimental_Loop_PLUS_Pause","Letter_Control_Condition","Letter_Experimental_Condition","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","condition","condition1","condition2","coordinates","coroutines_cycles","coroutines_duration","coroutines_mean_cycle_duration","correct","correct_KBR_Control","correct_KBR_Control_1","correct_KBR_Experimental","correct_KBR_Experimental_2","correct_response_Control","correct_response_Experimental","count_Blank_Control","count_Blank_Control_1","count_Blank_Experimental","count_Blank_Experimental_2","count_Block_sequence","count_Block_sequence_1","count_Counterbalance","count_End_of_Experiment","count_End_of_Practice","count_Experimental_Loop","count_Experimental_Loop_with_Pause","count_Experimental_PLUS_Pause_Sequence","count_Instructions","count_Instructions_Control_Condition","count_Instructions_Control_Condition_1","count_Instructions_Experimental_Condition","count_Instructions_Experimental_Condition_1","count_KBR_Control","count_KBR_Control_1","count_KBR_Experimental","count_KBR_Experimental_2","count_Letter_Control_Condition","count_Letter_Control_Condition_1","count_Letter_Experimental_Condition_2","count_Letter_Experimental_Condition_2_2","count_Pause_1","count_PracticeLoop","count_Trial_Loop_Control_Condition_Experimental_Phase_1","count_Trial_Loop_Control_Condition_Practice_Phase","count_Trial_Loop_Experimental_Condition_Experimental_Phase","count_Trial_Loop_Experimental_Condition_Practice_Phase","count_Trial_sequence_Control","count_Trial_sequence_Control_1","count_Trial_sequence_Experimental","count_Trial_sequence_Experimental_2","count_coroutines_Experimental","count_experiment","count_logger_1","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","form_response","fullscreen","height","keyboard_backend","live_row","live_row_PracticeLoop","live_row_Trial_Loop_Experimental_Condition_Practice_Phase","logfile","mouse_backend","opensesame_codename","opensesame_version","practice","repeat_cycle","response","response_KBR_Control","response_KBR_Control_1","response_KBR_Experimental","response_KBR_Experimental_2","response_time","response_time_KBR_Control","response_time_KBR_Control_1","response_time_KBR_Experimental","response_time_KBR_Experimental_2","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","time_Blank_Control","time_Blank_Control_1","time_Blank_Experimental","time_Blank_Experimental_2","time_Block_sequence","time_Block_sequence_1","time_Counterbalance","time_End_of_Experiment","time_End_of_Practice","time_Experimental_Loop","time_Experimental_Loop_with_Pause","time_Experimental_PLUS_Pause_Sequence","time_Instructions","time_Instructions_Control_Condition","time_Instructions_Control_Condition_1","time_Instructions_Experimental_Condition","time_Instructions_Experimental_Condition_1","time_KBR_Control","time_KBR_Control_1","time_KBR_Experimental","time_KBR_Experimental_2","time_Letter_Control_Condition","time_Letter_Control_Condition_1","time_Letter_Experimental_Condition_2","time_Letter_Experimental_Condition_2_2","time_Pause_1","time_PracticeLoop","time_Trial_Loop_Control_Condition_Experimental_Phase_1","time_Trial_Loop_Control_Condition_Practice_Phase","time_Trial_Loop_Experimental_Condition_Experimental_Phase","time_Trial_Loop_Experimental_Condition_Practice_Phase","time_Trial_sequence_Control","time_Trial_sequence_Control_1","time_Trial_sequence_Experimental","time_Trial_sequence_Experimental_2","time_experiment","time_logger_1","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"NA","NA","K","100","100","758","758","white","no","legacy","legacy","legacy","0","[condition1]","experimental","control","uniform","179411","2000","0.0111475884979","1","NA","NA","1","NA","NA","m","NA","NA","0","NA","0","NA","0","NA","0","NA","0","NA","0","0","NA","0","NA","NA","NA","0","NA","NA","NA","0","NA","NA","0","NA","0","NA","0","NA","NA","0","NA","0","0","0","06/26/19 10:57:05","The main experiment item","yes","Go_NoGo_Response_Inhibition_Task_MODIFIED.osexp","C:\Users\nur375\Documents\GitHub\paradigms\pc\go_nogo\OS","no","mono","no","18","no","black","no","I understand","yes","768","legacy","0","0","0","C:/Users/nur375/Documents/GitHub/paradigms/pc/go_nogo/OS/subject-0.csv","legacy","Kafkaesque Koffka","3.2.7","yes","0","m","NA","NA","m","NA","758","NA","NA","758","NA","2","legacy","1024","2","48000","-16","experiment","0","even","NA","NA","30920","NA","27906","NA","1762","NA","NA","NA","NA","NA","1762","NA","NA","27907","NA","NA","NA","29920","NA","NA","NA","29920","NA","NA","27868","NA","NA","NA","29902","NA","NA","29906","NA","1761","31919","Go No-go Task","1","758","1","yes","1024"
"NA","NA","X","50","50","563","563","white","no","legacy","legacy","legacy","0","[condition1]","experimental","control","uniform","197499","2000","0.0101266335526","0","NA","NA","0","NA","NA","None","NA","NA","1","NA","0","NA","0","NA","0","NA","0","NA","0","0","NA","0","NA","NA","NA","1","NA","NA","NA","1","NA","NA","0","NA","0","NA","0","NA","NA","1","NA","1","0","1","06/26/19 10:57:05","The main experiment item","yes","Go_NoGo_Response_Inhibition_Task_MODIFIED.osexp","C:\Users\nur375\Documents\GitHub\paradigms\pc\go_nogo\OS","no","mono","no","18","no","black","no","I understand","yes","768","legacy","1","0","1","C:/Users/nur375/Documents/GitHub/paradigms/pc/go_nogo/OS/subject-0.csv","legacy","Kafkaesque Koffka","3.2.7","yes","0","m","NA","NA","m","NA","368","NA","NA","368","NA","2","legacy","1024","2","48000","-16","experiment","0","even","NA","NA","32955","NA","27906","NA","1762","NA","NA","NA","NA","NA","1762","NA","NA","27907","NA","NA","NA","31955","NA","NA","NA","31955","NA","NA","27868","NA","NA","NA","29902","NA","NA","31940","NA","1761","33954","Go No-go Task","1","1126","2","yes","1024"
"NA","NA","J","66.6666666667","66.6666666667","466","466","white","no","legacy","legacy","legacy","0","[condition1]","experimental","control","uniform","202995","2000","0.00985245942018","1","NA","NA","1","NA","NA","m","NA","NA","2","NA","0","NA","0","NA","0","NA","0","NA","0","0","NA","0","NA","NA","NA","2","NA","NA","NA","2","NA","NA","0","NA","0","NA","0","NA","NA","2","NA","2","0","2","06/26/19 10:57:05","The main experiment item","yes","Go_NoGo_Response_Inhibition_Task_MODIFIED.osexp","C:\Users\nur375\Documents\GitHub\paradigms\pc\go_nogo\OS","no","mono","no","18","no","black","no","I understand","yes","768","legacy","2","0","2","C:/Users/nur375/Documents/GitHub/paradigms/pc/go_nogo/OS/subject-0.csv","legacy","Kafkaesque Koffka","3.2.7","yes","0","m","NA","NA","m","NA","272","NA","NA","272","NA","2","legacy","1024","2","48000","-16","experiment","0","even","NA","NA","34984","NA","27906","NA","1762","NA","NA","NA","NA","NA","1762","NA","NA","27907","NA","NA","NA","33984","NA","NA","NA","33984","NA","NA","27868","NA","NA","NA","29902","NA","NA","33970","NA","1761","35983","Go No-go Task","2","1398","3","yes","1024"
"NA","NA","A","75","75","433","433","white","no","legacy","legacy","legacy","0","[condition1]","experimental","control","uniform","197031","2000","0.0101506869477","1","NA","NA","1","NA","NA","m","NA","NA","3","NA","0","NA","0","NA","0","NA","0","NA","0","0","NA","0","NA","NA","NA","3","NA","NA","NA","3","NA","NA","0","NA","0","NA","0","NA","NA","3","NA","3","0","3","06/26/19 10:57:05","The main experiment item","yes","Go_NoGo_Response_Inhibition_Task_MODIFIED.osexp","C:\Users\nur375\Documents\GitHub\paradigms\pc\go_nogo\OS","no","mono","no","18","no","black","no","I understand","yes","768","legacy","3","0","3","C:/Users/nur375/Documents/GitHub/paradigms/pc/go_nogo/OS/subject-0.csv","legacy","Kafkaesque Koffka","3.2.7","yes","0","m","NA","NA","m","NA","334","NA","NA","334","NA","2","legacy","1024","2","48000","-16","experiment","0","even","NA","NA","37012","NA","27906","NA","1762","NA","NA","NA","NA","NA","1762","NA","NA","27907","NA","NA","NA","36012","NA","NA","NA","36012","NA","NA","27868","NA","NA","NA","29902","NA","NA","35998","NA","1761","38011","Go No-go Task","3","1732","4","yes","1024"
"NA","NA","X","60","60","420.6","420.6","white","no","legacy","legacy","legacy","0","[condition1]","experimental","control","uniform","199629","2000","0.0100185844742","0","NA","NA","0","NA","NA","None","NA","NA","4","NA","0","NA","0","NA","0","NA","0","NA","0","0","NA","0","NA","NA","NA","4","NA","NA","NA","4","NA","NA","0","NA","0","NA","0","NA","NA","4","NA","4","0","4","06/26/19 10:57:05","The main experiment item","yes","Go_NoGo_Response_Inhibition_Task_MODIFIED.osexp","C:\Users\nur375\Documents\GitHub\paradigms\pc\go_nogo\OS","no","mono","no","18","no","black","no","I understand","yes","768","legacy","4","0","4","C:/Users/nur375/Documents/GitHub/paradigms/pc/go_nogo/OS/subject-0.csv","legacy","Kafkaesque Koffka","3.2.7","yes","0","m","NA","NA","m","NA","371","NA","NA","371","NA","2","legacy","1024","2","48000","-16","experiment","0","even","NA","NA","39044","NA","27906","NA","1762","NA","NA","NA","NA","NA","1762","NA","NA","27907","NA","NA","NA","38044","NA","NA","NA","38044","NA","NA","27868","NA","NA","NA","29902","NA","NA","38030","NA","1761","40043","Go No-go Task","3","2103","5","yes","1024"
"NA","L","X","66.6666666667","66.6666666667","496.333333333","496.333333333","white","no","legacy","legacy","legacy","0","[condition2]","experimental","control","uniform","173116","2000","0.0115529471568","1","1","NA","0","NA","m","None","0","NA","4","NA","1","NA","0","NA","0","NA","0","NA","0","1","NA","1","NA","0","NA","4","NA","0","NA","4","NA","NA","0","NA","1","NA","1","0","NA","4","NA","4","0","5","06/26/19 10:57:05","The main experiment item","yes","Go_NoGo_Response_Inhibition_Task_MODIFIED.osexp","C:\Users\nur375\Documents\GitHub\paradigms\pc\go_nogo\OS","no","mono","no","18","no","black","no","I understand","yes","768","legacy","0","1","4","C:/Users/nur375/Documents/GitHub/paradigms/pc/go_nogo/OS/subject-0.csv","legacy","Kafkaesque Koffka","3.2.7","yes","0","m","m","NA","m","NA","875","875","NA","371","NA","2","legacy","1024","2","48000","-16","experiment","0","even","43129","NA","39044","NA","40097","NA","1762","NA","NA","NA","NA","NA","1762","40098","NA","27907","NA","42130","NA","38044","NA","42130","NA","38044","NA","NA","27868","NA","42094","NA","29902","42099","NA","38030","NA","1761","44128","Go No-go Task","4","2978","6","yes","1024"
"NA","I","X","71.4285714286","71.4285714286","495.714285714","495.714285714","white","no","legacy","legacy","legacy","0","[condition2]","experimental","control","uniform","194041","2000","0.0103071000459","1","1","NA","0","NA","m","None","1","NA","4","NA","1","NA","0","NA","0","NA","0","NA","0","1","NA","1","NA","1","NA","4","NA","1","NA","4","NA","NA","0","NA","1","NA","1","1","NA","4","NA","4","0","6","06/26/19 10:57:05","The main experiment item","yes","Go_NoGo_Response_Inhibition_Task_MODIFIED.osexp","C:\Users\nur375\Documents\GitHub\paradigms\pc\go_nogo\OS","no","mono","no","18","no","black","no","I understand","yes","768","legacy","1","1","4","C:/Users/nur375/Documents/GitHub/paradigms/pc/go_nogo/OS/subject-0.csv","legacy","Kafkaesque Koffka","3.2.7","yes","0","m","m","NA","m","NA","492","492","NA","371","NA","2","legacy","1024","2","48000","-16","experiment","0","even","45158","NA","39044","NA","40097","NA","1762","NA","NA","NA","NA","NA","1762","40098","NA","27907","NA","44158","NA","38044","NA","44158","NA","38044","NA","NA","27868","NA","42094","NA","29902","44144","NA","38030","NA","1761","46157","Go No-go Task","5","3470","7","yes","1024"
"NA","D","X","75","75","479.25","479.25","white","no","legacy","legacy","legacy","0","[condition2]","experimental","control","uniform","197332","2000","0.0101352036162","1","1","NA","0","NA","m","None","2","NA","4","NA","1","NA","0","NA","0","NA","0","NA","0","1","NA","1","NA","2","NA","4","NA","2","NA","4","NA","NA","0","NA","1","NA","1","2","NA","4","NA","4","0","7","06/26/19 10:57:05","The main experiment item","yes","Go_NoGo_Response_Inhibition_Task_MODIFIED.osexp","C:\Users\nur375\Documents\GitHub\paradigms\pc\go_nogo\OS","no","mono","no","18","no","black","no","I understand","yes","768","legacy","2","1","4","C:/Users/nur375/Documents/GitHub/paradigms/pc/go_nogo/OS/subject-0.csv","legacy","Kafkaesque Koffka","3.2.7","yes","0","m","m","NA","m","NA","364","364","NA","371","NA","2","legacy","1024","2","48000","-16","experiment","0","even","47201","NA","39044","NA","40097","NA","1762","NA","NA","NA","NA","NA","1762","40098","NA","27907","NA","46202","NA","38044","NA","46202","NA","38044","NA","NA","27868","NA","42094","NA","29902","46188","NA","38030","NA","1761","48200","Go No-go Task","6","3834","8","yes","1024"
"NA","C","X","77.7777777778","77.7777777778","461.666666667","461.666666667","white","no","legacy","legacy","legacy","0","[condition2]","experimental","control","uniform","200261","2000","0.00998696700805","1","1","NA","0","NA","m","None","3","NA","4","NA","1","NA","0","NA","0","NA","0","NA","0","1","NA","1","NA","3","NA","4","NA","3","NA","4","NA","NA","0","NA","1","NA","1","3","NA","4","NA","4","0","8","06/26/19 10:57:05","The main experiment item","yes","Go_NoGo_Response_Inhibition_Task_MODIFIED.osexp","C:\Users\nur375\Documents\GitHub\paradigms\pc\go_nogo\OS","no","mono","no","18","no","black","no","I understand","yes","768","legacy","3","1","4","C:/Users/nur375/Documents/GitHub/paradigms/pc/go_nogo/OS/subject-0.csv","legacy","Kafkaesque Koffka","3.2.7","yes","0","m","m","NA","m","NA","321","321","NA","371","NA","2","legacy","1024","2","48000","-16","experiment","0","even","49229","NA","39044","NA","40097","NA","1762","NA","NA","NA","NA","NA","1762","40098","NA","27907","NA","48230","NA","38044","NA","48230","NA","38044","NA","NA","27868","NA","42094","NA","29902","48216","NA","38030","NA","1761","50228","Go No-go Task","7","4155","9","yes","1024"
"NA","J","X","80","80","449","449","white","no","legacy","legacy","legacy","0","[condition2]","experimental","control","uniform","198864","2000","0.010057124467","1","1","NA","0","NA","m","None","4","NA","4","NA","1","NA","0","NA","0","NA","0","NA","0","1","NA","1","NA","4","NA","4","NA","4","NA","4","NA","NA","0","NA","1","NA","1","4","NA","4","NA","4","0","9","06/26/19 10:57:05","The main experiment item","yes","Go_NoGo_Response_Inhibition_Task_MODIFIED.osexp","C:\Users\nur375\Documents\GitHub\paradigms\pc\go_nogo\OS","no","mono","no","18","no","black","no","I understand","yes","768","legacy","4","1","4","C:/Users/nur375/Documents/GitHub/paradigms/pc/go_nogo/OS/subject-0.csv","legacy","Kafkaesque Koffka","3.2.7","yes","0","m","m","NA","m","NA","335","335","NA","371","NA","2","legacy","1024","2","48000","-16","experiment","0","even","51257","NA","39044","NA","40097","NA","1762","NA","NA","NA","NA","NA","1762","40098","NA","27907","NA","50257","NA","38044","NA","50257","NA","38044","NA","NA","27868","NA","42094","NA","29902","50244","NA","38030","NA","1761","52256","Go No-go Task","8","4490","10","yes","1024"
