"UFOV_img_path","UFOV_img_scale","UFOV_img_start_pos","UFOV_peripheral_jitter","UFOV_stim_presentation_jitter","acc","accuracy","average_response_time","avg_rt","background","canvas_backend","central_response_timestamp","central_response_x","central_response_y","central_stim_spacing_px","clock_backend","color_backend","compensation","coordinates","correct","correct_mUFOVIntro","count_PARAMETERS","count_divided_attention","count_experiment","count_fixation","count_iti","count_mUFOVIntro","count_mask","count_randomize_starting_vals","count_response_central","count_response_peripheral","count_save_data","count_trial_flow","count_trial_table","cur_peripheral_stim_x","cur_peripheral_stim_y","datetime","description","disable_garbage_collection","divided_jitter_time_ms","experiment_file","experiment_path","fixation_jitter_time_ms","fixation_time_ms","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","iti_time_ms","jitter_ms","keyboard_backend","live_row","live_row_trial_table","logfile","lure_rotation","mask_jitter_time_ms","mask_time_ms","mouse_backend","opensesame_codename","opensesame_version","peripheral_item_coords","peripheral_jitter_px","peripheral_response_timestamp","peripheral_response_x","peripheral_response_y","peripheral_stim_coords_jx","peripheral_stim_coords_jy","rect_size","repeat_cycle","response","response_mUFOVIntro","response_time","response_time_mUFOVIntro","response_timeout_ms","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","stim_response_side","stim_time_ms","subject_nr","subject_parity","target_start_rotation","time_PARAMETERS","time_divided_attention","time_experiment","time_fixation","time_iti","time_mUFOVIntro","time_mask","time_randomize_starting_vals","time_response_central","time_response_peripheral","time_save_data","time_trial_flow","time_trial_table","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"c:\users\nar09\appdata\local\temp\tmpyviosf.opensesame_pool\ufov.png","0.6","[0, 30, 60, 90, 120, 150, 180, 210, 240, 270, 300, 330]","[0, 25, 50]","[-50, 0, 50, 100, 200, 300]","undefined","undefined","undefined","undefined","grey","psycho","9513.3091","254","251","300","psycho","psycho","0","uniform","undefined","undefined","0","0","0","0","0","0","0","0","0","0","0","0","0","250","200","03/19/19 22:20:33","Created by Nelson Roque, PhD. nelsonroque.com","yes","450","mUFOV_demo.osexp","C:\Users\nar09\Documents\GitHub\paradigms\mobile_ufov_demo","500","300","no","sans","no","18","no","white","no","no","768","500","200","psycho","0","0","C:/Users/nar09/Documents/GitHub/paradigms/mobile_ufov_demo/subject-123456.csv","-15","500","300","psycho","Kafkaesque Koffka","3.2.6","[200, 250, -200, -250]","0","9513.3091","254","251","250","200","600","0","space","space","2000.0377","2000.0377","5000","2","legacy","1024","2","48000","-16","experiment","left","250","123456","even","90","4160.1512","6863.9885","4159.1575","6359.6489","9542.2713","4185.7115","7324.6563","6354.9697","7825.0288","9521.4683","10043.0134","6354.7302","6188.103","mobile UFOV","0","0","0","yes","1024"
"c:\users\nar09\appdata\local\temp\tmpyviosf.opensesame_pool\ufov.png","0.6","[0, 30, 60, 90, 120, 150, 180, 210, 240, 270, 300, 330]","[0, 25, 50]","[-50, 0, 50, 100, 200, 300]","undefined","undefined","undefined","undefined","grey","psycho","14297.371","108","143","300","psycho","psycho","0","uniform","undefined","undefined","0","1","0","1","1","0","1","1","1","1","1","1","0","-250","250","03/19/19 22:20:33","Created by Nelson Roque, PhD. nelsonroque.com","yes","300","mUFOV_demo.osexp","C:\Users\nar09\Documents\GitHub\paradigms\mobile_ufov_demo","350","300","no","sans","no","18","no","white","no","no","768","500","50","psycho","1","1","C:/Users/nar09/Documents/GitHub/paradigms/mobile_ufov_demo/subject-123456.csv","-35","350","300","psycho","Kafkaesque Koffka","3.2.6","[200, 250, -200, -250]","25","14297.371","108","143","-225","275","600","0","space","space","2000.0377","2000.0377","5000","2","legacy","1024","2","48000","-16","experiment","right","250","123456","even","120","4160.1512","10546.9305","4159.1575","10193.466","14319.5709","4185.7115","10851.738","10189.8234","11202.616","14309.1668","14820.2255","10189.5906","6188.103","mobile UFOV","0","0","0","yes","1024"
"c:\users\nar09\appdata\local\temp\tmpyviosf.opensesame_pool\ufov.png","0.6","[0, 30, 60, 90, 120, 150, 180, 210, 240, 270, 300, 330]","[0, 25, 50]","[-50, 0, 50, 100, 200, 300]","undefined","undefined","undefined","undefined","grey","psycho","17616.5954","219","-195","300","psycho","psycho","0","uniform","undefined","undefined","0","2","0","2","2","0","2","2","2","2","2","2","0","200","-200","03/19/19 22:20:33","Created by Nelson Roque, PhD. nelsonroque.com","yes","350","mUFOV_demo.osexp","C:\Users\nar09\Documents\GitHub\paradigms\mobile_ufov_demo","400","300","no","sans","no","18","no","white","no","no","768","500","100","psycho","2","2","C:/Users/nar09/Documents/GitHub/paradigms/mobile_ufov_demo/subject-123456.csv","60","400","300","psycho","Kafkaesque Koffka","3.2.6","[200, 250, -200, -250]","25","17616.5954","219","-195","225","-175","600","0","space","space","2000.0377","2000.0377","5000","2","legacy","1024","2","48000","-16","experiment","right","250","123456","even","270","4160.1512","15354.0183","4159.1575","14950.2928","17636.1685","4185.7115","15731.0507","14946.6225","16135.3741","17628.7548","18136.8519","14946.3858","6188.103","mobile UFOV","0","0","0","yes","1024"
"c:\users\nar09\appdata\local\temp\tmpyviosf.opensesame_pool\ufov.png","0.6","[0, 30, 60, 90, 120, 150, 180, 210, 240, 270, 300, 330]","[0, 25, 50]","[-50, 0, 50, 100, 200, 300]","undefined","undefined","undefined","undefined","grey","psycho","20536.7039","-227","264","300","psycho","psycho","0","uniform","undefined","undefined","0","3","0","3","3","0","3","3","3","3","3","3","0","-250","200","03/19/19 22:20:33","Created by Nelson Roque, PhD. nelsonroque.com","yes","250","mUFOV_demo.osexp","C:\Users\nar09\Documents\GitHub\paradigms\mobile_ufov_demo","300","300","no","sans","no","18","no","white","no","no","768","500","0","psycho","3","3","C:/Users/nar09/Documents/GitHub/paradigms/mobile_ufov_demo/subject-123456.csv","-25","300","300","psycho","Kafkaesque Koffka","3.2.6","[200, 250, -200, -250]","25","20536.7039","-227","264","-225","225","600","0","space","space","2000.0377","2000.0377","5000","2","legacy","1024","2","48000","-16","experiment","left","250","123456","even","300","4160.1512","18573.9334","4159.1575","18271.3519","20609.5798","4185.7115","18826.6594","18267.6579","19126.1803","20563.6851","21112.2042","18267.4222","6188.103","mobile UFOV","0","0","0","yes","1024"
"c:\users\nar09\appdata\local\temp\tmpyviosf.opensesame_pool\ufov.png","0.6","[0, 30, 60, 90, 120, 150, 180, 210, 240, 270, 300, 330]","[0, 25, 50]","[-50, 0, 50, 100, 200, 300]","undefined","undefined","undefined","undefined","grey","psycho","24300.2585","236","245","300","psycho","psycho","0","uniform","undefined","undefined","0","4","0","4","4","0","4","4","4","4","4","4","0","250","250","03/19/19 22:20:33","Created by Nelson Roque, PhD. nelsonroque.com","yes","450","mUFOV_demo.osexp","C:\Users\nar09\Documents\GitHub\paradigms\mobile_ufov_demo","500","300","no","sans","no","18","no","white","no","no","768","500","200","psycho","4","4","C:/Users/nar09/Documents/GitHub/paradigms/mobile_ufov_demo/subject-123456.csv","45","500","300","psycho","Kafkaesque Koffka","3.2.6","[200, 250, -200, -250]","25","24300.2585","236","245","275","275","600","0","space","space","2000.0377","2000.0377","5000","2","legacy","1024","2","48000","-16","experiment","left","250","123456","even","150","4160.1512","21766.4357","4159.1575","21238.0696","24414.5971","4185.7115","22223.5237","21234.1528","22723.5352","24335.2708","24917.8867","21233.9224","6188.103","mobile UFOV","0","0","0","yes","1024"
"c:\users\nar09\appdata\local\temp\tmpyviosf.opensesame_pool\ufov.png","0.6","[0, 30, 60, 90, 120, 150, 180, 210, 240, 270, 300, 330]","[0, 25, 50]","[-50, 0, 50, 100, 200, 300]","undefined","undefined","undefined","undefined","grey","psycho","27530.7703","-187","226","300","psycho","psycho","0","uniform","undefined","undefined","0","5","0","5","5","0","5","5","5","5","5","5","0","-200","250","03/19/19 22:20:33","Created by Nelson Roque, PhD. nelsonroque.com","yes","250","mUFOV_demo.osexp","C:\Users\nar09\Documents\GitHub\paradigms\mobile_ufov_demo","300","300","no","sans","no","18","no","white","no","no","768","500","0","psycho","5","5","C:/Users/nar09/Documents/GitHub/paradigms/mobile_ufov_demo/subject-123456.csv","-35","300","300","psycho","Kafkaesque Koffka","3.2.6","[200, 250, -200, -250]","0","27530.7703","-187","226","-200","250","600","0","space","space","2000.0377","2000.0377","5000","2","legacy","1024","2","48000","-16","experiment","left","250","123456","even","150","4160.1512","25349.1016","4159.1575","25044.6501","27556.6679","4185.7115","25602.7465","25041.0386","25901.9322","27539.2663","28058.243","25040.5625","6188.103","mobile UFOV","0","0","0","yes","1024"
"c:\users\nar09\appdata\local\temp\tmpyviosf.opensesame_pool\ufov.png","0.6","[0, 30, 60, 90, 120, 150, 180, 210, 240, 270, 300, 330]","[0, 25, 50]","[-50, 0, 50, 100, 200, 300]","undefined","undefined","undefined","undefined","grey","psycho","31021.1469","-193","-127","300","psycho","psycho","0","uniform","undefined","undefined","0","6","0","6","6","0","6","6","6","6","6","6","0","-200","-200","03/19/19 22:20:33","Created by Nelson Roque, PhD. nelsonroque.com","yes","350","mUFOV_demo.osexp","C:\Users\nar09\Documents\GitHub\paradigms\mobile_ufov_demo","400","300","no","sans","no","18","no","white","no","no","768","500","100","psycho","6","6","C:/Users/nar09/Documents/GitHub/paradigms/mobile_ufov_demo/subject-123456.csv","-45","400","300","psycho","Kafkaesque Koffka","3.2.6","[200, 250, -200, -250]","25","31021.1469","-193","-127","-175","-175","600","0","space","space","2000.0377","2000.0377","5000","2","legacy","1024","2","48000","-16","experiment","right","250","123456","even","0","4160.1512","28880.8893","4159.1575","28477.269","31041.9069","4185.7115","29234.9314","28473.6567","29635.218","31028.1574","31542.5777","28473.4073","6188.103","mobile UFOV","0","0","0","yes","1024"
"c:\users\nar09\appdata\local\temp\tmpyviosf.opensesame_pool\ufov.png","0.6","[0, 30, 60, 90, 120, 150, 180, 210, 240, 270, 300, 330]","[0, 25, 50]","[-50, 0, 50, 100, 200, 300]","undefined","undefined","undefined","undefined","grey","psycho","33580.5733","-154","228","300","psycho","psycho","0","uniform","undefined","undefined","0","7","0","7","7","0","7","7","7","7","7","7","0","-200","250","03/19/19 22:20:33","Created by Nelson Roque, PhD. nelsonroque.com","yes","200","mUFOV_demo.osexp","C:\Users\nar09\Documents\GitHub\paradigms\mobile_ufov_demo","250","300","no","sans","no","18","no","white","no","no","768","500","-50","psycho","7","7","C:/Users/nar09/Documents/GitHub/paradigms/mobile_ufov_demo/subject-123456.csv","-60","250","300","psycho","Kafkaesque Koffka","3.2.6","[200, 250, -200, -250]","25","33580.5733","-154","228","-175","275","600","0","space","space","2000.0377","2000.0377","5000","2","legacy","1024","2","48000","-16","experiment","right","250","123456","even","120","4160.1512","31942.6939","4159.1575","31690.2464","33610.035","4185.7115","32146.3643","31686.6779","32396.0293","33598.4704","34110.6506","31686.4463","6188.103","mobile UFOV","0","0","0","yes","1024"
"c:\users\nar09\appdata\local\temp\tmpyviosf.opensesame_pool\ufov.png","0.6","[0, 30, 60, 90, 120, 150, 180, 210, 240, 270, 300, 330]","[0, 25, 50]","[-50, 0, 50, 100, 200, 300]","undefined","undefined","undefined","undefined","grey","psycho","37191.184","273","259","300","psycho","psycho","0","uniform","undefined","undefined","0","8","0","8","8","0","8","8","8","8","8","8","0","250","250","03/19/19 22:20:33","Created by Nelson Roque, PhD. nelsonroque.com","yes","550","mUFOV_demo.osexp","C:\Users\nar09\Documents\GitHub\paradigms\mobile_ufov_demo","600","300","no","sans","no","18","no","white","no","no","768","500","300","psycho","8","8","C:/Users/nar09/Documents/GitHub/paradigms/mobile_ufov_demo/subject-123456.csv","15","600","300","psycho","Kafkaesque Koffka","3.2.6","[200, 250, -200, -250]","50","37191.184","273","259","300","300","600","0","space","space","2000.0377","2000.0377","5000","2","legacy","1024","2","48000","-16","experiment","left","250","123456","even","150","4160.1512","34851.4763","4159.1575","34248.4454","37254.5911","4185.7115","35406.0904","34244.6572","36005.954","37211.5269","37757.3007","34244.4079","6188.103","mobile UFOV","0","0","0","yes","1024"
"c:\users\nar09\appdata\local\temp\tmpyviosf.opensesame_pool\ufov.png","0.6","[0, 30, 60, 90, 120, 150, 180, 210, 240, 270, 300, 330]","[0, 25, 50]","[-50, 0, 50, 100, 200, 300]","undefined","undefined","undefined","undefined","grey","psycho","42065.4982","-249","260","300","psycho","psycho","0","uniform","undefined","undefined","0","9","0","9","9","0","9","9","9","9","9","9","0","-250","250","03/19/19 22:20:33","Created by Nelson Roque, PhD. nelsonroque.com","yes","550","mUFOV_demo.osexp","C:\Users\nar09\Documents\GitHub\paradigms\mobile_ufov_demo","600","300","no","sans","no","18","no","white","no","no","768","500","300","psycho","9","9","C:/Users/nar09/Documents/GitHub/paradigms/mobile_ufov_demo/subject-123456.csv","60","600","300","psycho","Kafkaesque Koffka","3.2.6","[200, 250, -200, -250]","25","42065.4982","-249","260","-225","275","600","0","space","space","2000.0377","2000.0377","5000","2","legacy","1024","2","48000","-16","experiment","left","250","123456","even","330","4160.1512","38552.598","4159.1575","37950.3523","42127.9246","4185.7115","39106.3892","37946.6209","39705.9447","42101.5437","42627.7531","37946.3898","6188.103","mobile UFOV","0","0","0","yes","1024"
