datetime	block	trial	trial_type	setSize	RT	accuracy	timeout	clickedObject	Targ_X	Targ_Y	Click_X	Click_Y	target_start_color	target_end_color
2017-04-24 16:07:44.250000	1	1	noChange	8	1.17958976389	1	0	noChange	-191.443703514	-37.9311105419	968	109	black	black
2017-04-24 16:07:48.236000	1	2	change	8	1.53483788275	1	0	change	-191.443703514	114.687407028	-904	125	green	magenta
2017-04-24 16:07:52.302000	1	3	change	8	1.64621753796	0	0	noChange	37.9311105419	191.443703514	913	198	yellow	blue
2017-04-24 16:07:56.141000	1	4	noChange	8	1.42952366564	1	0	noChange	-37.9311105419	114.687407028	887	183	blue	blue
2017-04-24 16:07:59.989000	1	5	noChange	8	1.43586047604	1	0	noChange	-191.443703514	-114.687407028	888	160	yellow	yellow
2017-04-24 16:08:03.472000	1	6	noChange	8	1.07534297191	1	0	noChange	-114.687407028	-37.9311105419	893	172	blue	blue
2017-04-24 16:08:07.174000	1	7	noChange	8	1.2503395233	1	0	noChange	-191.443703514	-191.443703514	943	170	blue	blue
2017-04-24 16:08:10.564000	1	8	noChange	8	0.962341241038	1	0	noChange	37.9311105419	191.443703514	988	178	black	black
2017-04-24 16:08:14.098000	1	9	change	8	1.08448711043	1	0	change	114.687407028	-114.687407028	-935	114	black	blue
2017-04-24 16:08:17.792000	1	10	change	8	1.24317504787	0	0	noChange	37.9311105419	-191.443703514	938	168	blue	white
2017-04-24 16:08:21.469000	1	11	noChange	8	1.22264599913	1	0	noChange	37.9311105419	-37.9311105419	945	165	white	white
2017-04-24 16:08:24.985000	1	12	noChange	8	1.07739899695	1	0	noChange	114.687407028	114.687407028	972	176	green	green
2017-04-24 16:08:28.893000	1	13	change	8	1.47993979722	1	0	change	191.443703514	114.687407028	-955	96	green	yellow
2017-04-24 16:08:32.430000	1	14	change	8	1.10657295769	1	0	change	-114.687407028	-191.443703514	-948	84	black	red
2017-04-24 16:08:35.766000	1	15	change	8	0.901286986281	1	0	change	-191.443703514	-114.687407028	-923	146	magenta	blue
2017-04-24 16:08:39.320000	1	16	change	8	1.11239617238	1	0	change	37.9311105419	37.9311105419	-937	127	magenta	green
2017-04-24 16:08:42.740000	1	17	change	8	1.00831975788	1	0	change	191.443703514	191.443703514	-990	133	black	white
2017-04-24 16:08:46.080000	1	18	noChange	8	0.900552105127	1	0	noChange	191.443703514	114.687407028	954	144	magenta	magenta
2017-04-24 16:08:49.838000	1	19	noChange	8	1.32317568833	0	0	change	-37.9311105419	37.9311105419	-934	87	black	black
2017-04-24 16:08:53.153000	1	20	change	8	0.880259942655	1	0	change	114.687407028	37.9311105419	-930	89	green	black
2017-04-24 16:08:56.532000	1	21	noChange	8	0.947039701646	1	0	noChange	37.9311105419	-114.687407028	954	130	green	green
2017-04-24 16:09:00.056000	1	22	noChange	8	1.08935415852	1	0	noChange	191.443703514	-191.443703514	965	127	red	red
2017-04-24 16:09:03.587000	1	23	change	8	1.07969108716	1	0	change	-191.443703514	37.9311105419	-933	71	yellow	green
2017-04-24 16:09:07.165000	1	24	noChange	8	1.13776394139	1	0	noChange	-37.9311105419	-191.443703514	956	130	black	black
2017-04-24 16:09:10.983000	1	25	noChange	8	1.4063026528	1	0	noChange	191.443703514	37.9311105419	986	124	blue	blue
2017-04-24 16:09:14.320000	1	26	change	8	0.908802069819	0	0	noChange	37.9311105419	-37.9311105419	975	129	black	white
2017-04-24 16:09:17.990000	1	27	change	8	1.23732186317	1	0	change	114.687407028	-191.443703514	-932	61	yellow	blue
2017-04-24 16:09:21.419000	1	28	noChange	8	1.01427681126	1	0	noChange	114.687407028	-37.9311105419	964	121	magenta	magenta
2017-04-24 16:09:25.047000	1	29	noChange	8	1.2418276289	1	0	noChange	-114.687407028	-191.443703514	1021	131	yellow	yellow
