datetime	block	trial	trial_type	setSize	RT	accuracy	timeout	clickedObject	Targ_X	Targ_Y	Click_X	Click_Y	target_start_color	target_end_color
2017-04-26 13:11:04.675000	0	1	noChange	8	1.76223104992	0	0	change	37.9311105419	37.9311105419	-980	52	yellow	yellow
2017-04-26 13:11:08.440000	0	2	change	8	1.34431399049	1	0	change	-37.9311105419	37.9311105419	-986	44	yellow	green
2017-04-26 13:11:12.124000	0	3	change	8	1.28372899225	1	0	change	191.443703514	-37.9311105419	-979	67	yellow	magenta
2017-04-26 13:11:15.784000	0	4	noChange	8	1.25022456983	1	0	noChange	-37.9311105419	114.687407028	963	41	blue	blue
2017-04-26 13:11:19.731000	0	5	noChange	8	1.59161422599	1	0	noChange	-37.9311105419	-114.687407028	974	61	blue	blue
2017-04-26 13:11:23.277000	0	6	noChange	8	1.1388490201	1	0	noChange	-114.687407028	-37.9311105419	921	130	yellow	yellow
2017-04-26 13:11:26.757000	0	7	change	8	1.06702362458	1	0	change	114.687407028	37.9311105419	-969	77	magenta	green
2017-04-26 13:11:30.263000	0	8	change	8	1.093192373	1	0	change	37.9311105419	37.9311105419	-969	54	white	green
2017-04-26 13:11:33.762000	0	9	change	8	1.08529712189	1	0	change	-191.443703514	37.9311105419	-986	59	green	blue
2017-04-26 13:11:37.090000	0	10	change	8	0.958124911732	1	0	change	37.9311105419	191.443703514	-1009	61	yellow	red
2017-04-26 13:11:41.289000	0	11	change	8	1.80439475352	0	0	noChange	-114.687407028	191.443703514	888	93	white	magenta
2017-04-26 13:11:44.821000	0	12	noChange	8	1.16424429584	1	0	noChange	114.687407028	-114.687407028	907	103	blue	blue
2017-04-26 13:11:49.014000	0	13	noChange	8	1.76392948754	1	0	noChange	191.443703514	-191.443703514	893	91	black	black
2017-04-26 13:11:52.700000	0	14	noChange	8	1.27746443832	1	0	noChange	-37.9311105419	191.443703514	923	99	red	red
2017-04-26 13:11:56.176000	0	15	change	8	1.10220020954	1	0	change	-114.687407028	114.687407028	-1003	52	magenta	red
2017-04-26 13:11:59.498000	0	16	noChange	8	0.908018333437	1	0	noChange	191.443703514	-114.687407028	904	96	black	black
2017-04-26 13:12:02.974000	0	17	change	8	1.09536335152	1	0	change	191.443703514	191.443703514	-988	57	red	white
2017-04-26 13:12:06.929000	0	18	noChange	8	1.55432742363	1	0	noChange	-37.9311105419	-37.9311105419	918	89	black	black
2017-04-26 13:12:10.259000	0	19	change	8	0.960275362842	0	0	noChange	37.9311105419	-37.9311105419	925	99	white	blue
2017-04-26 13:12:14.037000	0	20	noChange	8	1.42162677234	1	0	noChange	191.443703514	114.687407028	925	84	blue	blue
