datetime	block	trial	trial_type	setSize	RT	accuracy	timeout	clickedObject	Targ_X	Targ_Y	Click_X	Click_Y	target_start_color	target_end_color
2017-04-14 10:25:31.389000	1	1	change	12	1.13883840285	1	0	change	37.9311105419	-191.443703514	-1000	212	white	blue
2017-04-14 10:25:34.749000	1	2	noChange	12	0.918332500605	1	0	noChange	-114.687407028	-37.9311105419	989	187	blue	blue
2017-04-14 10:25:38.262000	1	3	noChange	12	1.0604922392	0	0	change	37.9311105419	-37.9311105419	-987	174	yellow	yellow
2017-04-14 10:25:41.587000	1	4	change	12	0.884406020773	1	0	change	-191.443703514	37.9311105419	-1005	160	blue	red
2017-04-14 10:25:45.030000	1	5	change	12	0.972692379854	1	0	change	-191.443703514	114.687407028	-1004	131	black	yellow
2017-04-14 10:25:48.450000	1	6	change	12	0.962699223694	1	0	change	37.9311105419	114.687407028	-1011	131	magenta	yellow
2017-04-14 10:25:51.749000	1	7	noChange	12	0.876469301046	0	0	change	-37.9311105419	-114.687407028	-980	104	yellow	yellow
2017-04-14 10:25:55.134000	1	8	noChange	12	0.944347304155	1	0	noChange	191.443703514	-114.687407028	1004	97	white	white
2017-04-14 10:25:58.649000	1	9	noChange	12	1.12820027531	1	0	noChange	-191.443703514	-114.687407028	1002	94	blue	blue
2017-04-14 10:26:02.114000	1	10	noChange	12	1.02670041921	0	0	change	114.687407028	114.687407028	-989	117	black	black
2017-04-14 10:26:05.471000	1	11	noChange	12	0.939166595163	1	0	noChange	-114.687407028	-191.443703514	888	426	blue	blue
2017-04-14 10:26:08.851000	1	12	noChange	12	0.931842413499	1	0	noChange	191.443703514	191.443703514	993	150	red	red
2017-04-14 10:26:12.173000	1	13	change	12	0.92805880037	1	0	change	-191.443703514	-37.9311105419	-989	146	black	white
2017-04-14 10:26:16.046000	1	14	change	12	1.42957474997	1	0	change	-191.443703514	191.443703514	-1015	136	red	blue
2017-04-14 10:26:20.119000	1	15	noChange	12	1.63385578341	1	0	noChange	114.687407028	-37.9311105419	1006	93	red	red
2017-04-14 10:26:24.136000	1	16	change	12	1.57299405074	0	0	noChange	37.9311105419	37.9311105419	983	80	magenta	yellow
2017-04-14 10:26:27.846000	1	17	change	12	1.28624125378	1	0	change	114.687407028	-191.443703514	-967	117	magenta	black
2017-04-14 10:26:31.192000	1	18	change	12	0.929790493097	0	0	noChange	-37.9311105419	-114.687407028	984	101	green	white
2017-04-14 10:26:34.757000	1	19	noChange	12	1.09592502074	1	0	noChange	-37.9311105419	114.687407028	1032	72	green	green
2017-04-14 10:26:38.118000	1	20	change	12	0.920545766488	0	0	noChange	37.9311105419	191.443703514	1017	54	blue	magenta
2017-04-14 10:26:42.496000	1	21	noChange	12	1.99049046974	0	0	change	114.687407028	-191.443703514	-995	57	white	white
2017-04-14 10:26:46.209000	1	22	noChange	12	1.28525101128	1	0	noChange	37.9311105419	191.443703514	992	42	blue	blue
2017-04-14 10:26:49.825000	1	23	noChange	12	1.18083626225	1	0	noChange	-37.9311105419	-191.443703514	994	43	green	green
2017-04-14 10:26:53.309000	1	24	change	12	1.01775251902	1	0	change	-114.687407028	-191.443703514	-946	92	white	red
2017-04-14 10:26:57.060000	1	25	noChange	12	1.2865389013	1	0	noChange	-37.9311105419	-37.9311105419	960	347	white	white
2017-04-14 10:27:00.467000	1	26	change	12	1.00740998626	1	0	change	-37.9311105419	37.9311105419	-989	432	blue	black
2017-04-14 10:27:03.921000	1	27	noChange	12	0.997131499031	1	0	noChange	114.687407028	-114.687407028	968	333	yellow	yellow
2017-04-14 10:27:07.458000	1	28	noChange	12	1.12163478691	0	0	change	-191.443703514	-37.9311105419	-940	420	yellow	yellow
2017-04-14 10:27:10.848000	1	29	change	12	0.980993255923	0	0	noChange	191.443703514	-191.443703514	976	331	blue	white
2017-04-14 10:27:14.655000	1	30	change	12	1.39501766795	0	0	noChange	191.443703514	37.9311105419	954	323	yellow	magenta
2017-04-14 10:27:18.107000	1	31	change	12	1.02654687415	0	0	noChange	37.9311105419	-114.687407028	982	328	magenta	white
2017-04-14 10:27:21.276000	1	32	noChange	12	0.747536607566	1	0	noChange	37.9311105419	37.9311105419	914	302	yellow	yellow
2017-04-14 10:27:25.356000	1	33	change	12	1.6280518621	1	0	change	-114.687407028	114.687407028	-932	384	red	black
2017-04-14 10:27:28.649000	1	34	noChange	12	0.850881057178	1	0	noChange	191.443703514	114.687407028	896	289	black	black
2017-04-14 10:27:32.800000	1	35	change	12	1.70203307623	0	0	noChange	114.687407028	191.443703514	938	316	blue	red
2017-04-14 10:27:36.005000	1	36	noChange	12	0.784287659698	1	0	noChange	-191.443703514	-191.443703514	961	318	magenta	magenta
2017-04-14 10:27:40.723000	1	37	change	12	NA	0	1	NA	114.687407028	37.9311105419	NA	NA	white	black
2017-04-14 10:27:44.387000	1	38	change	12	1.21901396973	1	0	change	-114.687407028	191.443703514	-925	350	red	white
2017-04-14 10:27:48.854000	1	39	change	12	2.01310182788	0	0	noChange	-114.687407028	-37.9311105419	901	294	blue	white
2017-04-14 10:27:52.313000	1	40	change	12	1.02271933235	0	0	noChange	37.9311105419	-37.9311105419	919	299	blue	red
2017-04-14 10:27:55.622000	1	41	noChange	12	0.886176305041	1	0	noChange	-114.687407028	114.687407028	941	311	green	green
2017-04-14 10:27:59.046000	1	42	change	12	1.02075567983	0	0	noChange	-114.687407028	37.9311105419	900	292	white	blue
2017-04-14 10:28:02.429000	1	43	change	12	0.936700842076	0	0	noChange	114.687407028	114.687407028	926	301	black	magenta
2017-04-14 10:28:06.210000	1	44	change	12	1.3214740983	1	0	change	-37.9311105419	191.443703514	-944	374	green	black
2017-04-14 10:28:10.103000	1	45	noChange	12	1.44547364341	1	0	noChange	-191.443703514	191.443703514	949	314	red	red
2017-04-14 10:28:13.818000	1	46	change	12	1.28720686338	1	0	change	114.687407028	-37.9311105419	-921	330	black	red
2017-04-14 10:28:17.639000	1	47	change	12	1.37756115425	1	0	change	-191.443703514	-114.687407028	-936	343	white	red
2017-04-14 10:28:21.525000	1	48	change	12	1.47432287243	0	0	noChange	-191.443703514	-191.443703514	953	300	black	yellow
2017-04-14 10:28:25.525000	1	49	change	12	1.60268654596	1	0	change	114.687407028	-114.687407028	-929	334	red	blue
2017-04-14 10:28:29.009000	1	50	noChange	12	1.06006157403	1	0	noChange	-114.687407028	-114.687407028	954	278	magenta	magenta
2017-04-14 10:28:33.184000	1	51	noChange	12	1.76164592098	1	0	noChange	114.687407028	191.443703514	966	282	green	green
2017-04-14 10:28:37.801000	1	52	change	12	NA	0	1	NA	191.443703514	-114.687407028	NA	NA	yellow	red
2017-04-14 10:28:41.147000	1	53	change	12	0.891890316274	0	0	noChange	-37.9311105419	-191.443703514	935	254	black	magenta
2017-04-14 10:28:44.713000	1	54	noChange	12	1.11743775164	1	0	noChange	37.9311105419	114.687407028	951	252	green	green
2017-04-14 10:28:48.203000	1	55	noChange	12	1.05291146485	1	0	noChange	37.9311105419	-191.443703514	987	266	green	green
2017-04-14 10:28:51.740000	1	56	change	12	1.06940236895	1	0	change	191.443703514	191.443703514	-926	268	black	green
2017-04-14 10:28:55.363000	1	57	noChange	12	1.23377646548	1	0	noChange	-191.443703514	114.687407028	932	240	white	white
2017-04-14 10:28:58.658000	1	58	noChange	12	0.839848803272	1	0	noChange	37.9311105419	-114.687407028	944	243	green	green
2017-04-14 10:29:02.111000	1	59	noChange	12	1.01134960774	1	0	noChange	-114.687407028	37.9311105419	965	249	yellow	yellow
2017-04-14 10:29:05.474000	1	60	noChange	12	0.943841098102	1	0	noChange	191.443703514	37.9311105419	1006	253	blue	blue
2017-04-14 10:29:08.935000	1	61	noChange	12	1.00370437731	1	0	noChange	-37.9311105419	37.9311105419	953	235	white	white
2017-04-14 10:29:12.473000	1	62	change	12	1.09973942499	1	0	change	191.443703514	114.687407028	-925	249	red	magenta
2017-04-14 10:29:15.825000	1	63	noChange	12	0.919645434067	1	0	noChange	-191.443703514	37.9311105419	954	231	black	black
2017-04-14 10:29:19.342000	1	64	noChange	12	1.10504370902	1	0	noChange	191.443703514	-37.9311105419	965	238	white	white
