datetime	block	trial	trial_type	setSize	RT	accuracy	timeout	clickedObject	Targ_X	Targ_Y	Click_X	Click_Y	target_start_color	target_end_color
2017-04-17 16:19:02.898000	0	1	change	12	NA	0	1	NA	-191.443703514	191.443703514	NA	NA	green	red
2017-04-17 16:19:07.549000	0	2	noChange	12	NA	0	1	NA	-114.687407028	191.443703514	NA	NA	magenta	magenta
2017-04-17 16:19:12.237000	0	3	noChange	12	NA	0	1	NA	-37.9311105419	114.687407028	NA	NA	green	green
2017-04-17 16:19:16.928000	0	4	change	12	NA	0	1	NA	191.443703514	-191.443703514	NA	NA	blue	white
2017-04-17 16:19:21.673000	0	5	noChange	12	NA	0	1	NA	37.9311105419	37.9311105419	NA	NA	red	red
2017-04-17 16:19:26.345000	0	6	change	12	NA	0	1	NA	114.687407028	-191.443703514	NA	NA	yellow	green
2017-04-17 16:19:31.019000	0	7	noChange	12	NA	0	1	NA	191.443703514	-37.9311105419	NA	NA	white	white
2017-04-17 16:19:35.519000	0	8	noChange	12	2.04640869507	1	0	noChange	-37.9311105419	37.9311105419	977	128	red	red
2017-04-17 16:19:39.253000	0	9	change	12	1.2621875118	1	0	change	-37.9311105419	191.443703514	-960	162	white	red
2017-04-17 16:19:43.091000	0	10	noChange	12	1.36913101883	1	0	noChange	-191.443703514	114.687407028	981	130	yellow	yellow
2017-04-17 16:19:47.029000	0	11	change	12	1.5012751604	1	0	change	191.443703514	-37.9311105419	-965	172	blue	black
2017-04-17 16:19:51.359000	0	12	change	12	1.82880047886	1	0	change	-114.687407028	114.687407028	-920	151	red	white
2017-04-17 16:19:55.190000	0	13	noChange	12	1.38185798999	1	0	noChange	-114.687407028	-114.687407028	975	95	red	red
2017-04-17 16:19:59.375000	0	14	noChange	12	1.71917568639	1	0	noChange	114.687407028	-191.443703514	995	117	blue	blue
2017-04-17 16:20:04.060000	0	15	change	12	NA	0	1	NA	37.9311105419	-191.443703514	NA	NA	magenta	green
2017-04-17 16:20:07.895000	0	16	change	12	1.35575250886	1	0	change	-191.443703514	-114.687407028	-954	168	green	black
2017-04-17 16:20:12.270000	0	17	noChange	12	1.93513801784	1	0	noChange	114.687407028	-37.9311105419	1020	114	green	green
2017-04-17 16:20:16.961000	0	18	change	12	NA	0	1	NA	37.9311105419	114.687407028	NA	NA	magenta	green
2017-04-17 16:20:21.584000	0	19	noChange	12	2.12684315281	1	0	noChange	-191.443703514	-114.687407028	1006	137	green	green
2017-04-17 16:20:25.946000	0	20	change	12	1.89977428101	1	0	change	191.443703514	-114.687407028	-961	146	white	yellow
